trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,copulagan,0.5,instancehardness,0.25,-1.0,ERROR,2024-04-14 20:34:03.042923,2024-04-14 20:34:03.703359,0.660436
2,tvae,1,clustercentroid,auto,0.479001634949756,COMPLETE,2024-04-14 20:34:03.720555,2024-04-14 21:09:03.041180,2099.320625
3,gaussiancopula,0.5,editednn,0.0625,0.5750841418037658,COMPLETE,2024-04-14 21:09:03.058763,2024-04-14 21:10:31.115652,88.056889
4,fastml,0,instancehardness,0.125,-1.0,ERROR,2024-04-14 21:10:31.145287,2024-04-14 21:10:39.129077,7.98379
5,adasyn,0.25,condensednn,0.125,-1.0,ERROR,2024-04-14 21:10:39.166381,2024-04-14 21:10:39.413768,0.247387
6,adasyn,0,nearmiss,0.25,-1.0,ERROR,2024-04-14 21:10:39.435587,2024-04-14 21:10:39.539137,0.10355
7,random,0.5,editednn,0.5,0.5726914996108199,COMPLETE,2024-04-14 21:10:39.561519,2024-04-14 21:11:45.562348,66.000829
8,random,1,onesidedselection,0.0625,0.16261904006240088,COMPLETE,2024-04-14 21:11:45.577969,2024-04-14 21:12:29.688534,44.110565
9,random,0,condensednn,auto,0.016275033628739652,COMPLETE,2024-04-14 21:12:29.716760,2024-04-14 21:13:07.438975,37.722215
10,ctgan,0.5,random,0.125,-1.0,ERROR,2024-04-14 21:13:07.459364,2024-04-14 21:13:08.270601,0.811237
11,random,2,tomeklinks,0,0.7201851289049834,COMPLETE,2024-04-14 21:13:08.297551,2024-04-14 21:18:26.959673,318.662122
12,adasyn,2,editednn,0,-1.0,ERROR,2024-04-14 21:18:26.988499,2024-04-14 21:18:27.396911,0.408412
13,fastml,0,condensednn,0.25,0.016275033628739652,COMPLETE,2024-04-14 21:18:27.443301,2024-04-14 21:20:00.261519,92.818218
14,ctgan,2,condensednn,0.125,-1.0,ERROR,2024-04-14 21:20:00.325564,2024-04-14 21:20:02.064658,1.739094
15,random,2,onesidedselection,0,0.7201851289049834,COMPLETE,2024-04-14 21:20:02.124266,2024-04-14 21:23:27.457513,205.333247
16,ctgan,0.25,random,auto,-1.0,ERROR,2024-04-14 21:23:27.484958,2024-04-14 21:23:28.559887,1.074929
17,ctgan,0.25,condensednn,0.125,-1.0,ERROR,2024-04-14 21:23:28.599262,2024-04-14 21:23:29.520926,0.921664
18,fastml,0,condensednn,0,-1.0,ERROR,,,0.0
19,random,1,editednn,0.0625,0.612997309643527,COMPLETE,2024-04-14 21:25:22.447867,2024-04-14 21:26:36.182922,73.735055
20,fastml,0,onesidedselection,0.0625,0.027278115703738476,COMPLETE,2024-04-14 21:26:36.257322,2024-04-14 21:27:12.585552,36.32823
21,adasyn,0.5,nearmiss,0.25,-1.0,ERROR,2024-04-14 21:27:12.610713,2024-04-14 21:27:12.664920,0.054207
22,adasyn,0,editednn,auto,0.6040573871738826,COMPLETE,2024-04-14 21:27:12.679207,2024-04-14 21:28:20.807690,68.128483
23,copulagan,1,nearmiss,0.125,-1.0,ERROR,2024-04-14 21:28:20.839124,2024-04-14 21:28:21.610544,0.77142
24,random,0.25,tomeklinks,0.25,0.7213739896824181,COMPLETE,2024-04-14 21:28:21.638121,2024-04-14 21:30:00.713834,99.075713
25,smote,2,onesidedselection,0.125,-1.0,ERROR,2024-04-14 21:30:00.748585,2024-04-14 21:30:00.838857,0.090272
26,fastml,0.5,clustercentroid,0.25,0.677147000903298,COMPLETE,2024-04-14 21:30:00.859728,2024-04-14 21:32:10.297424,129.437696
27,ctgan,0.25,instancehardness,0.5,-1.0,ERROR,2024-04-14 21:32:10.325851,2024-04-14 21:32:11.029809,0.703958
28,tvae,0,clustercentroid,0.5,0.6360395959338248,COMPLETE,2024-04-14 21:32:11.048528,2024-04-14 21:33:47.630298,96.58177
29,gaussiancopula,0.5,tomeklinks,auto,0.7338287877275032,COMPLETE,2024-04-14 21:33:47.655975,2024-04-14 21:35:18.653254,90.997279
30,ctgan,0.5,editednn,0.25,-1.0,ERROR,2024-04-14 21:35:18.683014,2024-04-14 21:35:19.494551,0.811537
31,copulagan,0.25,instancehardness,0.125,-1.0,ERROR,2024-04-14 21:35:19.529993,2024-04-14 21:35:20.377396,0.847403
32,fastml,0.5,onesidedselection,0.0625,0.024035878495188793,COMPLETE,2024-04-14 21:35:20.409463,2024-04-14 21:36:23.897732,63.488269
33,tvae,auto,editednn,0.25,0.5843585639877635,COMPLETE,2024-04-14 21:36:23.922724,2024-04-14 22:07:13.418432,1849.495708
34,ctgan,0.25,nearmiss,0.25,-1.0,ERROR,2024-04-14 22:07:13.454492,2024-04-14 22:07:14.385081,0.930589
35,adasyn,0.5,tomeklinks,0.25,-1.0,ERROR,2024-04-14 22:07:14.427762,2024-04-14 22:07:14.633486,0.205724
36,smote,0.25,random,0.5,0.7113407594020109,COMPLETE,2024-04-14 22:07:14.665188,2024-04-14 22:11:19.630620,244.965432
37,tvae,1,onesidedselection,0.5,0.019736234828243573,COMPLETE,2024-04-14 22:11:19.662666,2024-04-14 22:32:57.467257,1297.804591
38,smote,0,clustercentroid,0,-1.0,ERROR,,,0.0
39,ctgan,0.25,onesidedselection,0.5,-1.0,ERROR,2024-04-14 22:34:49.260426,2024-04-14 22:34:49.829481,0.569055
40,ctgan,2,condensednn,0.5,-1.0,ERROR,2024-04-14 22:34:49.842549,2024-04-14 22:34:50.499987,0.657438
41,copulagan,0,condensednn,0,-1.0,ERROR,,,0.0
42,smote,1,clustercentroid,0.0625,-1.0,ERROR,2024-04-14 22:34:51.206971,2024-04-14 22:34:51.274337,0.067366
43,gaussiancopula,0.5,editednn,0.25,0.5750841418037658,COMPLETE,2024-04-14 22:34:51.295995,2024-04-14 22:35:58.102128,66.806133
44,gaussiancopula,2,condensednn,0.125,0.01611030897207368,COMPLETE,2024-04-14 22:35:58.133743,2024-04-14 22:37:08.095215,69.961472
45,copulagan,2,random,0,-1.0,ERROR,2024-04-14 22:37:08.109844,2024-04-14 22:37:08.703315,0.593471
46,tvae,0,condensednn,auto,0.016275033628739652,COMPLETE,2024-04-14 22:37:08.727940,2024-04-14 22:37:38.064050,29.33611
47,gaussiancopula,0.25,random,0.125,0.7186468060126149,COMPLETE,2024-04-14 22:37:38.090576,2024-04-14 22:39:04.370207,86.279631
48,copulagan,0.5,instancehardness,0,-1.0,ERROR,2024-04-14 22:39:04.383721,2024-04-14 22:39:04.947237,0.563516
49,adasyn,1,tomeklinks,0.125,-1.0,ERROR,2024-04-14 22:39:04.960339,2024-04-14 22:39:05.015730,0.055391
50,gaussiancopula,0.25,tomeklinks,0.5,0.7326795003126676,COMPLETE,2024-04-14 22:39:05.028498,2024-04-14 22:40:59.645779,114.617281
51,fastml,auto,condensednn,0.25,0.6673366573402554,COMPLETE,2024-04-14 22:40:59.672251,2024-04-14 22:46:02.409724,302.737473
52,gaussiancopula,0,tomeklinks,0.0625,0.7303298188554271,COMPLETE,2024-04-14 22:46:02.444390,2024-04-14 22:48:08.956089,126.511699
53,adasyn,0,tomeklinks,0.25,0.7303298188554271,COMPLETE,2024-04-14 22:48:08.988876,2024-04-14 22:49:35.221821,86.232945
54,tvae,1,instancehardness,0,0.74526796733006,COMPLETE,2024-04-14 22:49:35.250159,2024-04-14 23:12:25.506347,1370.256188
55,ctgan,auto,nearmiss,0.125,-1.0,ERROR,2024-04-14 23:12:25.529485,2024-04-14 23:12:26.045548,0.516063
56,smote,0,editednn,0.0625,0.6040573871738826,COMPLETE,2024-04-14 23:12:26.068800,2024-04-14 23:12:49.901071,23.832271
57,copulagan,0,random,0.125,-1.0,ERROR,2024-04-14 23:12:49.923732,2024-04-14 23:12:50.432081,0.508349
58,gaussiancopula,auto,random,0,0.7227973737228137,COMPLETE,2024-04-14 23:12:50.455770,2024-04-14 23:14:15.328192,84.872422
59,ctgan,0.5,instancehardness,auto,-1.0,ERROR,2024-04-14 23:14:15.351245,2024-04-14 23:14:15.872253,0.521008
60,random,auto,nearmiss,0.25,0.7085829831290369,COMPLETE,2024-04-14 23:14:15.885655,2024-04-14 23:14:43.418754,27.533099
61,random,0.5,instancehardness,0.0625,-1.0,ERROR,2024-04-14 23:14:43.441224,2024-04-14 23:14:44.705338,1.264114
62,adasyn,auto,tomeklinks,0,-1.0,ERROR,2024-04-14 23:14:44.729815,2024-04-14 23:14:44.866639,0.136824
