trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,2,nearmiss,0,-1.0,ERROR,2024-04-09 14:03:52.874738,2024-04-09 14:03:52.950041,0.075303
2,adasyn,2,clustercentroid,0.5,-1.0,ERROR,2024-04-09 14:03:52.970893,2024-04-09 14:03:53.505484,0.534591
3,copulagan,0.25,condensednn,0.0625,0.02325506861783615,COMPLETE,2024-04-09 14:03:53.545452,2024-04-09 14:08:23.009117,269.463665
4,adasyn,auto,nearmiss,0.125,-1.0,ERROR,2024-04-09 14:08:23.023100,2024-04-09 14:08:23.070898,0.047798
5,copulagan,0.5,onesidedselection,0.5,0.25834850790952635,COMPLETE,2024-04-09 14:08:23.083308,2024-04-09 14:10:46.207431,143.124123
6,ctgan,0,onesidedselection,0,-1.0,ERROR,,,0.0
7,copulagan,0,tomeklinks,0.5,0.2828570198132729,COMPLETE,2024-04-09 14:12:46.250584,2024-04-09 14:13:44.119178,57.868594
8,copulagan,0.5,tomeklinks,0.25,0.37705366251632066,COMPLETE,2024-04-09 14:13:44.132898,2024-04-09 14:16:00.623992,136.491094
9,tvae,1,nearmiss,0.25,-1.0,ERROR,2024-04-09 14:16:00.637629,2024-04-09 14:19:14.384590,193.746961
10,random,auto,instancehardness,0.25,0.37709301015306346,COMPLETE,2024-04-09 14:19:14.400387,2024-04-09 14:20:35.177992,80.777605
11,random,auto,clustercentroid,auto,0.29402960527123123,COMPLETE,2024-04-09 14:20:35.191654,2024-04-09 14:21:18.357237,43.165583
12,random,auto,nearmiss,0,0.3659358907973248,COMPLETE,2024-04-09 14:21:18.371935,2024-04-09 14:22:21.152689,62.780754
13,ctgan,0.5,tomeklinks,0.25,0.351387734819573,COMPLETE,2024-04-09 14:22:21.181228,2024-04-09 14:25:18.744136,177.562908
14,smote,auto,random,0,-1.0,ERROR,2024-04-09 14:25:18.769906,2024-04-09 14:25:18.833892,0.063986
15,adasyn,2,clustercentroid,0,-1.0,ERROR,2024-04-09 14:25:18.848561,2024-04-09 14:25:18.900797,0.052236
16,fastml,0.25,condensednn,0.0625,0.04593156910858184,COMPLETE,2024-04-09 14:25:18.915441,2024-04-09 14:25:40.660314,21.744873
17,tvae,2,clustercentroid,0,0.36840569131590806,COMPLETE,2024-04-09 14:25:40.676152,2024-04-09 14:30:23.022232,282.34608
18,ctgan,0,random,0.25,0.317527968125049,COMPLETE,2024-04-09 14:30:23.056964,2024-04-09 14:31:04.557834,41.50087
19,gaussiancopula,0.5,tomeklinks,0.25,0.39729370008873116,COMPLETE,2024-04-09 14:31:04.594495,2024-04-09 14:31:43.207079,38.612584
20,ctgan,2,tomeklinks,0.25,0.3041558573689769,COMPLETE,2024-04-09 14:31:43.222428,2024-04-09 14:34:52.643877,189.421449
21,adasyn,0,onesidedselection,0.125,0.2511975124978221,COMPLETE,2024-04-09 14:34:52.660822,2024-04-09 14:35:21.094878,28.434056
22,random,0.25,editednn,0.25,0.007808783890914856,COMPLETE,2024-04-09 14:35:21.110008,2024-04-09 14:35:36.671599,15.561591
23,fastml,0.5,clustercentroid,0.0625,0.35932490643316145,COMPLETE,2024-04-09 14:35:36.688849,2024-04-09 14:36:23.066904,46.378055
24,adasyn,2,clustercentroid,0.125,-1.0,ERROR,2024-04-09 14:36:23.088266,2024-04-09 14:36:23.162517,0.074251
25,copulagan,1,random,0.5,0.29011859250593136,COMPLETE,2024-04-09 14:36:23.178779,2024-04-09 14:38:15.694076,112.515297
26,copulagan,0.25,condensednn,0,0.35439888280522697,COMPLETE,2024-04-09 14:38:15.710192,2024-04-09 14:41:20.495888,184.785696
27,fastml,0.5,onesidedselection,0.25,0.27021922827486433,COMPLETE,2024-04-09 14:41:20.524960,2024-04-09 14:42:05.030943,44.505983
28,gaussiancopula,2,condensednn,0.125,0.08468114518534686,COMPLETE,2024-04-09 14:42:05.046291,2024-04-09 14:42:53.350512,48.304221
29,ctgan,0.5,editednn,0.0625,0.01189754982045892,COMPLETE,2024-04-09 14:42:53.370787,2024-04-09 14:45:22.623296,149.252509
30,tvae,0.25,clustercentroid,0.0625,0.3315074417038459,COMPLETE,2024-04-09 14:45:22.653173,2024-04-09 14:49:39.751772,257.098599
31,smote,1,instancehardness,0.25,-1.0,ERROR,2024-04-09 14:49:39.781644,2024-04-09 14:49:39.880440,0.098796
32,fastml,2,random,0.5,0.3937320382698535,COMPLETE,2024-04-09 14:49:39.908549,2024-04-09 14:50:31.395217,51.486668
33,gaussiancopula,0.5,instancehardness,0.0625,0.3298215607313159,COMPLETE,2024-04-09 14:50:31.409290,2024-04-09 14:51:30.732132,59.322842
34,gaussiancopula,1,condensednn,0.125,0.06969504379291824,COMPLETE,2024-04-09 14:51:30.756048,2024-04-09 14:53:19.719858,108.96381
35,ctgan,auto,tomeklinks,0.125,0.31645097063215527,COMPLETE,2024-04-09 14:53:19.740087,2024-04-09 14:57:37.786102,258.046015
36,copulagan,0.25,editednn,0,0.35439888280522697,COMPLETE,2024-04-09 14:57:37.811024,2024-04-09 15:00:54.454143,196.643119
37,adasyn,auto,nearmiss,0.5,-1.0,ERROR,2024-04-09 15:00:54.478447,2024-04-09 15:00:54.576340,0.097893
38,gaussiancopula,0,tomeklinks,0.25,0.2828570198132729,COMPLETE,2024-04-09 15:00:54.604266,2024-04-09 15:02:21.233124,86.628858
39,copulagan,2,instancehardness,0.25,0.34805073299102496,COMPLETE,2024-04-09 15:02:21.278536,2024-04-09 15:04:32.915624,131.637088
40,smote,1,onesidedselection,0.25,-1.0,ERROR,2024-04-09 15:04:32.944771,2024-04-09 15:04:33.042938,0.098167
41,fastml,auto,onesidedselection,auto,0.28860092562138595,COMPLETE,2024-04-09 15:04:33.081243,2024-04-09 15:06:20.373904,107.292661
42,adasyn,auto,editednn,auto,-1.0,ERROR,2024-04-09 15:06:20.398639,2024-04-09 15:06:20.454175,0.055536
43,smote,2,tomeklinks,0,-1.0,ERROR,2024-04-09 15:06:20.469059,2024-04-09 15:06:20.523158,0.054099
44,adasyn,0.25,random,0.0625,-1.0,ERROR,2024-04-09 15:06:20.536889,2024-04-09 15:06:20.672923,0.136034
45,random,0.25,random,auto,0.25770830326265404,COMPLETE,2024-04-09 15:06:20.700406,2024-04-09 15:07:15.114945,54.414539
46,random,auto,clustercentroid,0.0625,0.33308693989436877,COMPLETE,2024-04-09 15:07:15.142161,2024-04-09 15:08:25.772773,70.630612
47,tvae,0,nearmiss,0.0625,-1.0,ERROR,2024-04-09 15:08:25.786768,2024-04-09 15:08:25.916355,0.129587
48,copulagan,2,tomeklinks,0.125,0.2878157022085644,COMPLETE,2024-04-09 15:08:25.937241,2024-04-09 15:10:39.272738,133.335497
49,smote,1,random,0.5,-1.0,ERROR,2024-04-09 15:10:39.290649,2024-04-09 15:10:39.351569,0.06092
50,random,0.5,random,auto,0.3277555402363189,COMPLETE,2024-04-09 15:10:39.365769,2024-04-09 15:11:19.041540,39.675771
51,random,auto,random,0.0625,0.39417428422293527,COMPLETE,2024-04-09 15:11:19.059950,2024-04-09 15:12:56.808871,97.748921
52,gaussiancopula,0,editednn,0.5,0.013176010814673775,COMPLETE,2024-04-09 15:12:56.836735,2024-04-09 15:13:27.254296,30.417561
53,smote,0,random,0,-1.0,ERROR,,,0.0
54,smote,0,onesidedselection,0.25,0.2511975124978221,COMPLETE,2024-04-09 15:14:33.026305,2024-04-09 15:15:24.993492,51.967187
55,tvae,auto,onesidedselection,0.125,0.30055483427100327,COMPLETE,2024-04-09 15:15:25.024650,2024-04-09 15:19:49.192570,264.16792
56,fastml,0,editednn,0.5,0.013176010814673775,COMPLETE,2024-04-09 15:19:49.210622,2024-04-09 15:20:02.982949,13.772327
57,smote,2,nearmiss,0.5,-1.0,ERROR,2024-04-09 15:20:03.000309,2024-04-09 15:20:03.059207,0.058898
58,copulagan,0,tomeklinks,0,-1.0,ERROR,,,0.0
59,copulagan,2,instancehardness,0.125,0.3742697078831533,COMPLETE,2024-04-09 15:21:08.489138,2024-04-09 15:24:19.598848,191.10971
60,tvae,auto,instancehardness,0.5,0.3568413896637797,COMPLETE,2024-04-09 15:24:19.619407,2024-04-09 15:28:58.448848,278.829441
61,gaussiancopula,0.25,instancehardness,0.25,0.3564779777404362,COMPLETE,2024-04-09 15:28:58.473384,2024-04-09 15:30:48.017183,109.543799
62,ctgan,auto,editednn,0.25,0.008325069158098022,COMPLETE,2024-04-09 15:30:48.052355,2024-04-09 15:33:36.357278,168.304923
63,random,0.25,instancehardness,0.5,0.31634179049467737,COMPLETE,2024-04-09 15:33:36.388649,2024-04-09 15:34:21.561570,45.172921
64,copulagan,0.25,instancehardness,0.125,0.3721002607041421,COMPLETE,2024-04-09 15:34:21.575484,2024-04-09 15:36:59.245420,157.669936
65,smote,0,editednn,0.125,0.013176010814673775,COMPLETE,2024-04-09 15:36:59.274561,2024-04-09 15:37:18.013039,18.738478
66,smote,auto,tomeklinks,0.5,-1.0,ERROR,2024-04-09 15:37:18.044004,2024-04-09 15:37:18.145926,0.101922
67,ctgan,2,random,0.0625,0.37596294206794634,COMPLETE,2024-04-09 15:37:18.165814,2024-04-09 15:39:59.072014,160.9062
68,fastml,0,onesidedselection,0.5,0.2511975124978221,COMPLETE,2024-04-09 15:39:59.085104,2024-04-09 15:40:39.504238,40.419134
69,fastml,0.5,tomeklinks,0.5,0.2857822601181235,COMPLETE,2024-04-09 15:40:39.530223,2024-04-09 15:41:31.833220,52.302997
70,fastml,2,onesidedselection,0.25,0.28605732152628716,COMPLETE,2024-04-09 15:41:31.848981,2024-04-09 15:42:46.580967,74.731986
71,fastml,2,nearmiss,auto,0.21398453800826514,COMPLETE,2024-04-09 15:42:46.596174,2024-04-09 15:43:29.169116,42.572942
72,ctgan,0.5,condensednn,0.125,0.03513687977634847,COMPLETE,2024-04-09 15:43:29.211353,2024-04-09 15:46:05.405741,156.194388
73,ctgan,0.25,instancehardness,0.5,0.38188104951580293,COMPLETE,2024-04-09 15:46:05.422095,2024-04-09 15:48:39.038850,153.616755
74,fastml,2,instancehardness,auto,0.3084681595111649,COMPLETE,2024-04-09 15:48:39.054328,2024-04-09 15:49:25.813885,46.759557
75,fastml,0,clustercentroid,0.25,0.28547730227763946,COMPLETE,2024-04-09 15:49:25.843870,2024-04-09 15:50:01.546221,35.702351
76,tvae,auto,clustercentroid,0.5,0.3306733436753609,COMPLETE,2024-04-09 15:50:01.560300,2024-04-09 15:53:26.919482,205.359182
77,copulagan,0.25,instancehardness,0.0625,0.32560295047485044,COMPLETE,2024-04-09 15:53:26.943724,2024-04-09 15:55:56.211713,149.267989
78,tvae,0.5,instancehardness,auto,0.37117514871057117,COMPLETE,2024-04-09 15:55:56.225468,2024-04-09 15:59:12.294771,196.069303
