trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,2,nearmiss,0,-1.0,ERROR,2024-04-13 02:19:56.310650,2024-04-13 02:19:56.650234,0.339584
2,adasyn,2,clustercentroid,0.5,-1.0,ERROR,2024-04-13 02:19:56.690050,2024-04-13 02:19:57.527872,0.837822
3,copulagan,0.25,condensednn,0.0625,-1.0,ERROR,2024-04-13 02:19:57.557664,2024-04-13 02:19:58.519633,0.961969
4,adasyn,auto,nearmiss,0.125,-1.0,ERROR,2024-04-13 02:19:58.555788,2024-04-13 02:19:59.380374,0.824586
5,copulagan,0.5,onesidedselection,0.5,-1.0,ERROR,2024-04-13 02:19:59.411395,2024-04-13 02:20:00.407223,0.995828
6,ctgan,0,onesidedselection,0,-1.0,ERROR,,,0.0
7,copulagan,0,tomeklinks,0.5,-1.0,ERROR,2024-04-13 02:20:01.414078,2024-04-13 02:20:02.457472,1.043394
8,copulagan,0.5,tomeklinks,0.25,-1.0,ERROR,2024-04-13 02:20:02.489825,2024-04-13 02:20:03.378901,0.889076
9,tvae,1,nearmiss,0.25,-1.0,ERROR,2024-04-13 02:20:03.400908,2024-04-13 02:35:56.342563,952.941655
10,random,auto,instancehardness,0.25,-1.0,ERROR,2024-04-13 02:35:56.382765,2024-04-13 02:35:58.446894,2.064129
11,random,auto,clustercentroid,auto,0.3964491942194927,COMPLETE,2024-04-13 02:35:58.479993,2024-04-13 02:38:02.464302,123.984309
12,random,auto,nearmiss,0,0.4990822617790166,COMPLETE,2024-04-13 02:38:02.503114,2024-04-13 02:43:29.741887,327.238773
13,ctgan,0.5,tomeklinks,0.25,-1.0,ERROR,2024-04-13 02:43:29.767811,2024-04-13 02:43:31.065509,1.297698
14,smote,auto,random,0,-1.0,ERROR,2024-04-13 02:43:31.107284,2024-04-13 02:43:31.533477,0.426193
15,adasyn,2,clustercentroid,0,-1.0,ERROR,2024-04-13 02:43:31.579250,2024-04-13 02:43:33.106083,1.526833
16,fastml,0.25,condensednn,0.0625,0.0708573531135201,COMPLETE,2024-04-13 02:43:33.140815,2024-04-13 02:45:40.945790,127.804975
17,tvae,2,clustercentroid,0,0.5089863983245446,COMPLETE,2024-04-13 02:45:40.970814,2024-04-13 02:57:12.532382,691.561568
18,ctgan,0,random,0.25,-1.0,ERROR,2024-04-13 02:57:12.551861,2024-04-13 02:57:13.428427,0.876566
19,gaussiancopula,0.5,tomeklinks,0.25,0.5009207364938445,COMPLETE,2024-04-13 02:57:13.453276,2024-04-13 03:00:23.144364,189.691088
20,ctgan,2,tomeklinks,0.25,-1.0,ERROR,2024-04-13 03:00:23.160190,2024-04-13 03:00:23.924627,0.764437
21,adasyn,0,onesidedselection,0.125,0.3009681393467497,COMPLETE,2024-04-13 03:00:23.946652,2024-04-13 03:04:03.095856,219.149204
22,random,0.25,editednn,0.25,0.28091786772497157,COMPLETE,2024-04-13 03:04:03.134515,2024-04-13 03:05:40.443826,97.309311
23,fastml,0.5,clustercentroid,0.0625,0.49349903087962477,COMPLETE,2024-04-13 03:05:40.484028,2024-04-13 03:09:39.596117,239.112089
24,adasyn,2,clustercentroid,0.125,-1.0,ERROR,2024-04-13 03:09:39.612634,2024-04-13 03:09:39.677922,0.065288
25,copulagan,1,random,0.5,-1.0,ERROR,2024-04-13 03:09:39.693156,2024-04-13 03:09:40.553095,0.859939
26,copulagan,0.25,condensednn,0,-1.0,ERROR,2024-04-13 03:09:40.576357,2024-04-13 03:09:41.490160,0.913803
27,fastml,0.5,onesidedselection,0.25,0.32506595536467514,COMPLETE,2024-04-13 03:09:41.507637,2024-04-13 03:13:20.709079,219.201442
28,gaussiancopula,2,condensednn,0.125,0.03325990675990676,COMPLETE,2024-04-13 03:13:20.742936,2024-04-13 03:14:54.885086,94.14215
29,ctgan,0.5,editednn,0.0625,-1.0,ERROR,2024-04-13 03:14:54.899297,2024-04-13 03:14:55.769064,0.869767
30,tvae,0.25,clustercentroid,0.0625,0.48823079088870314,COMPLETE,2024-04-13 03:14:55.785655,2024-04-13 03:24:57.784868,601.999213
31,smote,1,instancehardness,0.25,-1.0,ERROR,2024-04-13 03:24:57.811903,2024-04-13 03:24:58.003709,0.191806
32,fastml,2,random,0.5,0.47175932137926857,COMPLETE,2024-04-13 03:24:58.017198,2024-04-13 03:28:20.910817,202.893619
33,gaussiancopula,0.5,instancehardness,0.0625,-1.0,ERROR,2024-04-13 03:28:20.931111,2024-04-13 03:28:29.357982,8.426871
34,gaussiancopula,1,condensednn,0.125,0.04214671606608423,COMPLETE,2024-04-13 03:28:29.388038,2024-04-13 03:30:05.221228,95.83319
35,ctgan,auto,tomeklinks,0.125,-1.0,ERROR,2024-04-13 03:30:05.235780,2024-04-13 03:30:06.015786,0.780006
36,copulagan,0.25,editednn,0,-1.0,ERROR,2024-04-13 03:30:06.033648,2024-04-13 03:30:06.946730,0.913082
37,adasyn,auto,nearmiss,0.5,-1.0,ERROR,2024-04-13 03:30:06.964756,2024-04-13 03:30:07.656471,0.691715
38,gaussiancopula,0,tomeklinks,0.25,0.4950601365778503,COMPLETE,2024-04-13 03:30:07.699888,2024-04-13 03:33:02.649618,174.94973
39,copulagan,2,instancehardness,0.25,-1.0,ERROR,2024-04-13 03:33:02.673510,2024-04-13 03:33:03.435577,0.762067
40,smote,1,onesidedselection,0.25,-1.0,ERROR,2024-04-13 03:33:03.462073,2024-04-13 03:33:03.541895,0.079822
41,fastml,auto,onesidedselection,auto,0.49633650099757587,COMPLETE,2024-04-13 03:33:03.557380,2024-04-13 03:36:30.748516,207.191136
42,adasyn,auto,editednn,auto,-1.0,ERROR,2024-04-13 03:36:30.774140,2024-04-13 03:36:30.856124,0.081984
43,smote,2,tomeklinks,0,-1.0,ERROR,2024-04-13 03:36:30.871319,2024-04-13 03:36:30.933289,0.06197
44,adasyn,0.25,random,0.0625,-1.0,ERROR,2024-04-13 03:36:30.947398,2024-04-13 03:36:31.076334,0.128936
45,random,0.25,random,auto,0.4035077285256907,COMPLETE,2024-04-13 03:36:31.096047,2024-04-13 03:38:04.624247,93.5282
46,random,auto,clustercentroid,0.0625,0.46488449306479057,COMPLETE,2024-04-13 03:38:04.638066,2024-04-13 03:42:20.087322,255.449256
47,tvae,0,nearmiss,0.0625,-1.0,ERROR,2024-04-13 03:42:20.131883,2024-04-13 03:42:20.405085,0.273202
