trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,tvae,0,instancehardness,0,-1.0,ERROR,,,0.0
2,ctgan,0,editednn,0.125,0.4572317597505689,COMPLETE,2024-04-09 14:04:40.033469,2024-04-09 14:06:33.274723,113.241254
3,random,1,nearmiss,0.0625,0.5648298717139615,COMPLETE,2024-04-09 14:06:33.302069,2024-04-09 14:06:51.406042,18.103973
4,tvae,0.5,instancehardness,0.25,0.6055369925828935,COMPLETE,2024-04-09 14:06:51.419181,2024-04-09 14:07:09.245558,17.826377
5,adasyn,1,tomeklinks,0.125,0.5744597968906426,COMPLETE,2024-04-09 14:07:09.259433,2024-04-09 14:07:21.671745,12.412312
6,copulagan,2,tomeklinks,0,0.5688895063443549,COMPLETE,2024-04-09 14:07:21.686902,2024-04-09 14:08:01.040079,39.353177
7,fastml,1,editednn,0.5,0.254683089215552,COMPLETE,2024-04-09 14:08:01.053345,2024-04-09 14:08:13.839584,12.786239
8,ctgan,2,clustercentroid,auto,0.542738642872957,COMPLETE,2024-04-09 14:08:13.876279,2024-04-09 14:08:29.471372,15.595093
9,gaussiancopula,2,condensednn,0.25,0.4292644613786451,COMPLETE,2024-04-09 14:08:29.485065,2024-04-09 14:09:10.057408,40.572343
10,adasyn,0,clustercentroid,auto,0.5963061816305495,COMPLETE,2024-04-09 14:09:10.070316,2024-04-09 14:09:30.199815,20.129499
11,random,0.5,editednn,0.5,0.33886103129899986,COMPLETE,2024-04-09 14:09:30.223446,2024-04-09 14:09:43.428781,13.205335
12,fastml,2,random,0,0.5979719161902293,COMPLETE,2024-04-09 14:09:43.442758,2024-04-09 14:10:02.725014,19.282256
13,ctgan,0,onesidedselection,0.5,0.583820952553331,COMPLETE,2024-04-09 14:10:02.750380,2024-04-09 14:10:33.442931,30.692551
14,tvae,0,condensednn,auto,0.5327732448168234,COMPLETE,2024-04-09 14:10:33.459191,2024-04-09 14:11:43.101689,69.642498
15,tvae,auto,condensednn,auto,0.4830465026630424,COMPLETE,2024-04-09 14:11:43.132875,2024-04-09 14:13:01.770792,78.637917
16,smote,0.25,onesidedselection,0.125,0.6126957237952244,COMPLETE,2024-04-09 14:13:01.786809,2024-04-09 14:13:38.873586,37.086777
17,smote,0.25,instancehardness,0.25,0.5606744379193979,COMPLETE,2024-04-09 14:13:38.890215,2024-04-09 14:13:54.012092,15.121877
18,ctgan,0.5,nearmiss,0.5,0.6092778574844572,COMPLETE,2024-04-09 14:13:54.041288,2024-04-09 14:14:13.504314,19.463026
19,fastml,1,tomeklinks,auto,0.5662122578384805,COMPLETE,2024-04-09 14:14:13.517849,2024-04-09 14:14:26.450110,12.932261
20,gaussiancopula,0.5,editednn,auto,0.2547678621073116,COMPLETE,2024-04-09 14:14:26.463919,2024-04-09 14:14:35.607222,9.143303
21,gaussiancopula,1,editednn,0.25,0.2547678621073116,COMPLETE,2024-04-09 14:14:35.621283,2024-04-09 14:14:47.308647,11.687364
22,tvae,0.25,clustercentroid,0.125,0.5892716756352336,COMPLETE,2024-04-09 14:14:47.322155,2024-04-09 14:15:02.678741,15.356586
23,fastml,1,onesidedselection,0.25,0.5929607193363868,COMPLETE,2024-04-09 14:15:02.693533,2024-04-09 14:15:21.008158,18.314625
24,copulagan,1,random,0.5,0.5684922831985753,COMPLETE,2024-04-09 14:15:21.022362,2024-04-09 14:15:46.026447,25.004085
25,fastml,0.5,tomeklinks,0.5,0.5662122578384805,COMPLETE,2024-04-09 14:15:46.057910,2024-04-09 14:16:07.181990,21.12408
26,gaussiancopula,0,clustercentroid,auto,0.5963061816305495,COMPLETE,2024-04-09 14:16:07.207545,2024-04-09 14:16:26.065341,18.857796
27,tvae,0.5,condensednn,0.125,0.4830465026630424,COMPLETE,2024-04-09 14:16:26.085113,2024-04-09 14:17:07.723558,41.638445
28,ctgan,0.5,editednn,0,0.605691349455264,COMPLETE,2024-04-09 14:17:07.736741,2024-04-09 14:17:20.557462,12.820721
29,adasyn,auto,condensednn,0.25,0.4333603238757273,COMPLETE,2024-04-09 14:17:20.573233,2024-04-09 14:17:57.295366,36.722133
30,random,0.5,tomeklinks,0,0.5683097156111768,COMPLETE,2024-04-09 14:17:57.310633,2024-04-09 14:18:09.454745,12.144112
31,random,1,clustercentroid,0.25,0.580527625486238,COMPLETE,2024-04-09 14:18:09.472000,2024-04-09 14:18:21.959298,12.487298
32,gaussiancopula,0,onesidedselection,0.5,0.583820952553331,COMPLETE,2024-04-09 14:18:21.972914,2024-04-09 14:18:37.503984,15.53107
