trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,ctgan,0,editednn,0.125,0.9912737079766266,COMPLETE,2024-04-13 12:26:17.325788,2024-04-13 12:26:54.000162,36.674374
2,tvae,auto,nearmiss,0.0625,1.0,COMPLETE,2024-04-13 12:26:54.020477,2024-04-13 12:27:10.594129,16.573652
3,ctgan,0.5,random,auto,0.9912737079766266,COMPLETE,2024-04-13 12:27:10.607778,2024-04-13 12:27:19.886603,9.278825
4,copulagan,2,clustercentroid,0.125,0.9912737079766266,COMPLETE,2024-04-13 12:27:19.903613,2024-04-13 12:27:59.229648,39.326035
5,random,0,clustercentroid,0,-1.0,ERROR,,,0.0
6,copulagan,0.5,onesidedselection,0.125,0.9912737079766266,COMPLETE,2024-04-13 12:28:15.865401,2024-04-13 12:28:23.876617,8.011216
7,adasyn,0.25,clustercentroid,0.125,0.9822568591865057,COMPLETE,2024-04-13 12:28:23.892258,2024-04-13 12:28:31.237609,7.345351
8,random,0.5,tomeklinks,0,0.9912737079766266,COMPLETE,2024-04-13 12:28:31.254347,2024-04-13 12:28:42.275737,11.02139
9,copulagan,auto,clustercentroid,0.0625,0.982633419927588,COMPLETE,2024-04-13 12:28:42.288893,2024-04-13 12:28:49.596635,7.307742
10,adasyn,0,random,0.0625,1.0,COMPLETE,2024-04-13 12:28:49.613252,2024-04-13 12:28:59.767317,10.154065
11,random,0.25,onesidedselection,auto,0.9912737079766266,COMPLETE,2024-04-13 12:28:59.792216,2024-04-13 12:29:08.327120,8.534904
12,random,0.5,nearmiss,0.25,1.0,COMPLETE,2024-04-13 12:29:08.340519,2024-04-13 12:29:15.009207,6.668688
13,adasyn,0.25,nearmiss,auto,1.0,COMPLETE,2024-04-13 12:29:15.024779,2024-04-13 12:29:21.029159,6.00438
14,ctgan,auto,clustercentroid,0.0625,1.0,COMPLETE,2024-04-13 12:29:21.042827,2024-04-13 12:29:29.340200,8.297373
15,random,2,clustercentroid,0.125,0.982633419927588,COMPLETE,2024-04-13 12:29:29.354266,2024-04-13 12:29:40.127222,10.772956
16,random,1,onesidedselection,0.5,0.9912737079766266,COMPLETE,2024-04-13 12:29:40.140571,2024-04-13 12:29:48.088427,7.947856
17,adasyn,0.5,onesidedselection,0,0.982633419927588,COMPLETE,2024-04-13 12:29:48.103489,2024-04-13 12:29:55.037413,6.933924
18,random,1,onesidedselection,auto,0.9912737079766266,COMPLETE,2024-04-13 12:29:55.052245,2024-04-13 12:30:02.982391,7.930146
19,adasyn,0.25,clustercentroid,0.25,1.0,COMPLETE,2024-04-13 12:30:02.997294,2024-04-13 12:30:14.013322,11.016028
20,copulagan,0,random,auto,1.0,COMPLETE,2024-04-13 12:30:14.033626,2024-04-13 12:30:32.368871,18.335245
21,fastml,auto,random,0.25,0.9912737079766266,COMPLETE,2024-04-13 12:30:32.404779,2024-04-13 12:30:42.343322,9.938543
22,fastml,0,nearmiss,0.125,0.9912737079766266,COMPLETE,2024-04-13 12:30:42.357750,2024-04-13 12:30:52.540145,10.182395
23,ctgan,1,editednn,0.5,0.9652668398551761,COMPLETE,2024-04-13 12:30:52.604545,2024-04-13 12:31:04.954752,12.350207
24,fastml,auto,editednn,0.25,0.982633419927588,COMPLETE,2024-04-13 12:31:04.983827,2024-04-13 12:31:15.607289,10.623462
