trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
48,smote,2,clustercentroid,0.0625,0.9952402135691046,COMPLETE,2024-04-11 22:40:09.813320,2024-04-11 22:40:43.566518,33.753198
49,tvae,1,nearmiss,0,1.0,COMPLETE,2024-04-11 22:40:43.582746,2024-04-11 22:42:10.032912,86.450166
50,random,0.5,tomeklinks,0.5,1.0,COMPLETE,2024-04-11 22:42:10.048679,2024-04-11 22:43:15.843919,65.79524
51,copulagan,2,clustercentroid,0.125,1.0,COMPLETE,2024-04-11 22:43:15.872857,2024-04-11 22:44:20.825328,64.952471
52,ctgan,auto,editednn,auto,0.567465579238912,COMPLETE,2024-04-11 22:44:20.839253,2024-04-11 22:44:58.254013,37.41476
53,copulagan,0.5,condensednn,0.5,0.9954044643564114,COMPLETE,2024-04-11 22:44:58.271249,2024-04-11 22:45:45.922280,47.651031
54,tvae,0.25,condensednn,0.125,0.9976728141599723,COMPLETE,2024-04-11 22:45:45.974757,2024-04-11 22:46:59.009161,73.034404
55,ctgan,0.5,nearmiss,0.5,0.9976779254021656,COMPLETE,2024-04-11 22:46:59.042825,2024-04-11 22:47:42.953278,43.910453
56,ctgan,0.25,instancehardness,0.25,1.0,COMPLETE,2024-04-11 22:47:42.996862,2024-04-11 22:48:34.033199,51.036337
57,ctgan,auto,random,0.125,1.0,COMPLETE,2024-04-11 22:48:34.059430,2024-04-11 22:51:22.777467,168.718037
58,fastml,0,instancehardness,0.25,0.9953066566382828,COMPLETE,2024-04-11 22:51:22.809510,2024-04-11 22:54:27.834989,185.025479
59,gaussiancopula,0.25,nearmiss,0.0625,0.9976575303753685,COMPLETE,2024-04-11 22:54:27.850417,2024-04-11 22:55:09.380445,41.530028
60,copulagan,auto,editednn,0.25,0.8189746220520776,COMPLETE,2024-04-11 22:55:09.438512,2024-04-11 22:56:20.524705,71.086193
61,adasyn,1,condensednn,0.0625,-1.0,ERROR,2024-04-11 22:56:20.544558,2024-04-11 22:56:20.725369,0.180811
62,fastml,2,editednn,auto,0.43341795064400307,COMPLETE,2024-04-11 22:56:20.744423,2024-04-11 22:57:21.811404,61.066981
63,adasyn,0,onesidedselection,0.0625,0.9950724679855393,COMPLETE,2024-04-11 22:57:21.852896,2024-04-11 22:58:19.129784,57.276888
64,random,0.25,random,0.5,1.0,COMPLETE,2024-04-11 22:58:19.163805,2024-04-11 22:58:46.091338,26.927533
65,copulagan,auto,instancehardness,0.0625,0.9950394942232329,COMPLETE,2024-04-11 22:58:46.122034,2024-04-11 22:59:31.576062,45.454028
66,adasyn,0.5,random,0.125,-1.0,ERROR,2024-04-11 22:59:31.608248,2024-04-11 22:59:31.974350,0.366102
67,random,0,editednn,0.5,0.7423364034921087,COMPLETE,2024-04-11 22:59:31.990026,2024-04-11 22:59:47.107210,15.117184
68,random,2,editednn,0.5,0.8004514039135162,COMPLETE,2024-04-11 22:59:47.121578,2024-04-11 23:01:03.230977,76.109399
69,tvae,auto,onesidedselection,auto,1.0,COMPLETE,2024-04-11 23:01:03.257223,2024-04-11 23:03:02.991249,119.734026
70,random,2,clustercentroid,0.125,1.0,COMPLETE,2024-04-11 23:03:03.031403,2024-04-11 23:04:40.282217,97.250814
71,copulagan,0,editednn,0.5,0.7423364034921087,COMPLETE,2024-04-11 23:04:40.307605,2024-04-11 23:05:45.956997,65.649392
72,random,2,nearmiss,0.125,0.9950724679855393,COMPLETE,2024-04-11 23:05:45.990119,2024-04-11 23:06:30.985682,44.995563
73,tvae,2,nearmiss,0.5,1.0,COMPLETE,2024-04-11 23:06:31.024533,2024-04-11 23:07:15.876346,44.851813
74,smote,2,editednn,auto,0.5942799400774124,COMPLETE,2024-04-11 23:07:15.896776,2024-04-11 23:07:43.720537,27.823761
75,copulagan,2,random,0.0625,1.0,COMPLETE,2024-04-11 23:07:43.735547,2024-04-11 23:08:16.213259,32.477712
76,copulagan,auto,condensednn,0.0625,1.0,COMPLETE,2024-04-11 23:08:16.231707,2024-04-11 23:13:36.892236,320.660529
77,tvae,2,nearmiss,0,1.0,COMPLETE,2024-04-11 23:13:36.920668,2024-04-11 23:15:21.476933,104.556265
78,copulagan,2,editednn,0,1.0,COMPLETE,2024-04-11 23:15:21.491578,2024-04-11 23:16:22.641256,61.149678
79,copulagan,0,onesidedselection,0.125,0.9950724679855393,COMPLETE,2024-04-11 23:16:22.669145,2024-04-11 23:16:53.765383,31.096238
80,copulagan,1,clustercentroid,0.125,0.9976271685191873,COMPLETE,2024-04-11 23:16:53.779295,2024-04-11 23:17:30.602487,36.823192
81,fastml,auto,onesidedselection,0.125,1.0,COMPLETE,2024-04-11 23:17:30.629576,2024-04-11 23:18:20.370574,49.740998
82,random,1,nearmiss,0.125,0.9975932405321575,COMPLETE,2024-04-11 23:18:20.388873,2024-04-11 23:18:43.942664,23.553791
83,smote,0.5,clustercentroid,auto,1.0,COMPLETE,2024-04-11 23:18:43.956091,2024-04-11 23:19:10.553895,26.597804
84,smote,1,random,0.0625,0.9975932405321575,COMPLETE,2024-04-11 23:19:10.578883,2024-04-11 23:19:50.638349,40.059466
85,tvae,0,nearmiss,0.25,1.0,COMPLETE,2024-04-11 23:19:50.652333,2024-04-11 23:20:16.018043,25.36571
86,smote,2,clustercentroid,auto,1.0,COMPLETE,2024-04-11 23:20:16.035884,2024-04-11 23:20:46.593279,30.557395
87,smote,0,editednn,0.0625,0.7423364034921087,COMPLETE,2024-04-11 23:20:46.644935,2024-04-11 23:20:59.500919,12.855984
88,gaussiancopula,1,random,0,0.9976779254021656,COMPLETE,2024-04-11 23:20:59.514623,2024-04-11 23:21:38.365266,38.850643
89,copulagan,0,instancehardness,0.0625,0.9975932405321575,COMPLETE,2024-04-11 23:21:38.396061,2024-04-11 23:22:13.094895,34.698834
90,ctgan,2,condensednn,0.125,0.9976559248459251,COMPLETE,2024-04-11 23:22:13.113996,2024-04-11 23:23:19.833394,66.719398
91,random,0.5,clustercentroid,0.0625,0.9975932405321575,COMPLETE,2024-04-11 23:23:19.847335,2024-04-11 23:23:47.214394,27.367059
