trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,tvae,0.5,condensednn,0.25,0.0356699722746886,COMPLETE,2024-04-15 20:09:25.045757,2024-04-15 21:04:06.871158,3281.825401
2,random,0.25,nearmiss,auto,-1.0,ERROR,2024-04-15 21:04:06.918486,2024-04-15 21:04:07.067385,0.148899
3,adasyn,2,editednn,0.125,-1.0,ERROR,2024-04-15 21:04:07.097818,2024-04-15 21:04:07.421533,0.323715
4,copulagan,1,random,auto,-1.0,ERROR,2024-04-15 21:04:07.465036,2024-04-15 21:04:08.253863,0.788827
5,ctgan,0.5,editednn,auto,-1.0,ERROR,2024-04-15 21:04:08.292265,2024-04-15 21:04:09.079964,0.787699
6,tvae,1,condensednn,auto,0.0333818740022123,COMPLETE,2024-04-15 21:04:09.114048,2024-04-15 22:43:14.033585,5944.919537
7,smote,0.25,instancehardness,0.25,-1.0,ERROR,2024-04-15 22:43:14.048324,2024-04-15 22:43:14.116344,0.06802
8,gaussiancopula,0.25,random,0.25,0.1920114658812071,COMPLETE,2024-04-15 22:43:14.132210,2024-04-15 22:48:33.712665,319.580455
9,gaussiancopula,0.25,clustercentroid,0,0.2042172222611176,COMPLETE,2024-04-15 22:48:33.731079,2024-04-15 22:53:43.358535,309.627456
10,gaussiancopula,2,editednn,0.125,0.1227945849557933,COMPLETE,2024-04-15 22:53:43.382648,2024-04-15 22:59:21.037456,337.654808
11,tvae,1,instancehardness,auto,-1.0,ERROR,2024-04-15 22:59:21.062759,2024-04-16 00:35:38.065992,5777.003233
12,adasyn,1,random,0.5,-1.0,ERROR,2024-04-16 00:35:38.092334,2024-04-16 00:35:38.288937,0.196603
13,smote,auto,tomeklinks,0.125,-1.0,ERROR,2024-04-16 00:35:38.318371,2024-04-16 00:35:38.459619,0.141248
14,ctgan,1,tomeklinks,0.125,-1.0,ERROR,2024-04-16 00:35:38.484900,2024-04-16 00:35:39.189689,0.704789
15,ctgan,0.5,tomeklinks,0,-1.0,ERROR,2024-04-16 00:35:39.215019,2024-04-16 00:35:39.842217,0.627198
16,tvae,0,clustercentroid,0.5,0.19249739742415,COMPLETE,2024-04-16 00:35:39.866044,2024-04-16 00:40:45.067917,305.201873
17,adasyn,2,onesidedselection,0.0625,-1.0,ERROR,2024-04-16 00:40:45.092455,2024-04-16 00:40:45.151532,0.059077
18,copulagan,0,condensednn,0.25,-1.0,ERROR,2024-04-16 00:40:45.166489,2024-04-16 00:40:45.837212,0.670723
19,copulagan,0.5,editednn,0.125,-1.0,ERROR,2024-04-16 00:40:45.854647,2024-04-16 00:40:46.767099,0.912452
20,smote,1,clustercentroid,0.0625,-1.0,ERROR,2024-04-16 00:40:46.800297,2024-04-16 00:40:46.933460,0.133163
21,smote,0,nearmiss,auto,-1.0,ERROR,2024-04-16 00:40:46.964088,2024-04-16 00:40:47.079462,0.115374
22,gaussiancopula,2,editednn,0.0625,0.1137620771026059,COMPLETE,2024-04-16 00:40:47.098226,2024-04-16 00:46:52.502143,365.403917
23,copulagan,2,random,auto,-1.0,ERROR,2024-04-16 00:46:52.537038,2024-04-16 00:46:53.326522,0.789484
24,fastml,0.25,condensednn,0.125,0.0302848606577914,COMPLETE,2024-04-16 00:46:53.352430,2024-04-16 00:52:09.466888,316.114458
25,copulagan,auto,onesidedselection,0.5,-1.0,ERROR,2024-04-16 00:52:09.481698,2024-04-16 00:52:10.080979,0.599281
26,smote,0,onesidedselection,0,-1.0,ERROR,,,0.0
27,gaussiancopula,auto,condensednn,0.5,0.0705614362604591,COMPLETE,2024-04-16 00:57:10.827189,2024-04-16 01:03:10.507958,359.680769
28,gaussiancopula,0.5,nearmiss,0.5,-1.0,ERROR,2024-04-16 01:03:10.536824,2024-04-16 01:03:34.985176,24.448352
29,fastml,auto,onesidedselection,0.125,0.1381859402146855,COMPLETE,2024-04-16 01:03:35.013180,2024-04-16 01:09:31.716245,356.703065
30,random,0,clustercentroid,0.0625,0.2063705780894352,COMPLETE,2024-04-16 01:09:31.741520,2024-04-16 01:14:38.307171,306.565651
31,adasyn,0.5,condensednn,0.25,-1.0,ERROR,2024-04-16 01:14:38.330923,2024-04-16 01:14:38.393065,0.062142
32,copulagan,0,onesidedselection,0,-1.0,ERROR,,,0.0
33,smote,1,editednn,0,-1.0,ERROR,2024-04-16 01:14:38.989841,2024-04-16 01:14:39.047466,0.057625
34,gaussiancopula,0.5,random,0.5,0.2010861515908691,COMPLETE,2024-04-16 01:14:39.059433,2024-04-16 01:20:01.640120,322.580687
35,gaussiancopula,2,clustercentroid,0,0.2009062984097235,COMPLETE,2024-04-16 01:20:01.681936,2024-04-16 01:25:53.234522,351.552586
36,adasyn,0,condensednn,0,-1.0,ERROR,,,0.0
37,smote,2,onesidedselection,0.5,-1.0,ERROR,2024-04-16 01:30:53.945963,2024-04-16 01:30:54.188539,0.242576
38,tvae,0.5,tomeklinks,0.5,0.1916639335794297,COMPLETE,2024-04-16 01:30:54.221393,2024-04-16 02:31:14.157490,3619.936097
39,copulagan,auto,condensednn,auto,-1.0,ERROR,2024-04-16 02:31:14.196726,2024-04-16 02:31:15.013282,0.816556
40,ctgan,0,condensednn,auto,-1.0,ERROR,2024-04-16 02:31:15.045131,2024-04-16 02:31:15.932257,0.887126
41,random,0,clustercentroid,0.25,0.2065085001103387,COMPLETE,2024-04-16 02:31:15.970258,2024-04-16 02:36:28.024811,312.054553
42,copulagan,auto,onesidedselection,0.25,-1.0,ERROR,2024-04-16 02:36:28.043961,2024-04-16 02:36:28.732945,0.688984
43,fastml,0.25,onesidedselection,auto,0.0671513811297575,COMPLETE,2024-04-16 02:36:28.758449,2024-04-16 02:41:43.783930,315.025481
44,adasyn,0.25,tomeklinks,0.125,-1.0,ERROR,2024-04-16 02:41:43.807421,2024-04-16 02:41:44.123445,0.316024
45,fastml,0.5,clustercentroid,0.0625,0.203357064377934,COMPLETE,2024-04-16 02:41:44.176134,2024-04-16 02:47:26.880116,342.703982
