trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,ctgan,0.25,nearmiss,0.125,0.9745641597221459,COMPLETE,2024-04-14 04:51:05.095853,2024-04-14 04:52:04.318381,59.222528
2,tvae,0.5,instancehardness,0.5,0.9037085619987962,COMPLETE,2024-04-14 04:52:04.352592,2024-04-14 04:53:02.660009,58.307417
3,ctgan,1,tomeklinks,0.25,0.9598962171149047,COMPLETE,2024-04-14 04:53:02.673973,2024-04-14 04:56:16.293224,193.619251
4,copulagan,0.25,instancehardness,0.0625,0.9602180277983859,COMPLETE,2024-04-14 04:56:16.334382,2024-04-14 04:59:37.376775,201.042393
5,adasyn,0.25,onesidedselection,0.125,-1.0,ERROR,2024-04-14 04:59:37.445282,2024-04-14 04:59:37.663492,0.21821
6,fastml,0,random,0.125,0.9942440316744208,COMPLETE,2024-04-14 04:59:37.706193,2024-04-14 05:00:05.611120,27.904927
7,random,0.5,instancehardness,0,0.997103541582758,COMPLETE,2024-04-14 05:00:05.662844,2024-04-14 05:00:37.711243,32.048399
8,ctgan,1,condensednn,0,0.9739941794720195,COMPLETE,2024-04-14 05:00:37.744563,2024-04-14 05:01:42.243181,64.498618
9,gaussiancopula,auto,tomeklinks,0,0.940348238763076,COMPLETE,2024-04-14 05:01:42.283833,2024-04-14 05:02:28.114147,45.830314
10,gaussiancopula,1,tomeklinks,0.25,0.9682951029970529,COMPLETE,2024-04-14 05:02:28.133537,2024-04-14 05:03:17.343886,49.210349
11,tvae,auto,nearmiss,0.125,0.9210896319558213,COMPLETE,2024-04-14 05:03:17.373689,2024-04-14 05:04:37.644532,80.270843
12,smote,2,condensednn,auto,0.6469862763185663,COMPLETE,2024-04-14 05:04:37.661794,2024-04-14 05:05:00.374454,22.71266
13,adasyn,0.5,onesidedselection,0.0625,-1.0,ERROR,2024-04-14 05:05:00.393038,2024-04-14 05:05:00.466267,0.073229
14,fastml,2,onesidedselection,0.25,0.9663905667067545,COMPLETE,2024-04-14 05:05:00.484486,2024-04-14 05:05:21.140833,20.656347
15,adasyn,auto,instancehardness,auto,-1.0,ERROR,2024-04-14 05:05:21.159036,2024-04-14 05:05:21.223138,0.064102
16,ctgan,2,instancehardness,0.125,0.963375325551421,COMPLETE,2024-04-14 05:05:21.239259,2024-04-14 05:06:00.592135,39.352876
17,random,2,random,0,0.991555169300834,COMPLETE,2024-04-14 05:06:00.627833,2024-04-14 05:06:26.253147,25.625314
18,smote,0,clustercentroid,0.0625,1.0,COMPLETE,2024-04-14 05:06:26.266126,2024-04-14 05:06:56.368895,30.102769
19,ctgan,auto,random,auto,0.8806187710714766,COMPLETE,2024-04-14 05:06:56.397582,2024-04-14 05:07:15.937688,19.540106
20,fastml,auto,onesidedselection,0.25,0.9322254879856575,COMPLETE,2024-04-14 05:07:15.962892,2024-04-14 05:07:49.476787,33.513895
