trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,copulagan,auto,random,0.125,-1.0,ERROR,2024-04-12 19:38:11.726961,2024-04-12 19:38:12.458292,0.731331
2,random,0.5,tomeklinks,0,0.9342032185753956,COMPLETE,2024-04-12 19:38:12.513966,2024-04-12 19:39:02.689396,50.17543
3,ctgan,2,clustercentroid,0,-1.0,ERROR,2024-04-12 19:39:02.718942,2024-04-12 19:39:03.372198,0.653256
4,tvae,1,random,0.125,0.9177374482238709,COMPLETE,2024-04-12 19:39:03.391850,2024-04-12 19:42:42.213334,218.821484
5,random,1,editednn,auto,0.40010081908518325,COMPLETE,2024-04-12 19:42:42.242327,2024-04-12 19:42:52.461796,10.219469
6,gaussiancopula,1,onesidedselection,0.0625,0.5702598547008272,COMPLETE,2024-04-12 19:42:52.475415,2024-04-12 19:43:24.763864,32.288449
7,fastml,0,instancehardness,auto,0.8972344030495059,COMPLETE,2024-04-12 19:43:24.787857,2024-04-12 19:43:54.916216,30.128359
8,tvae,0,tomeklinks,0.125,0.5145355609810586,COMPLETE,2024-04-12 19:43:54.959046,2024-04-12 19:44:22.002503,27.043457
9,fastml,0.5,clustercentroid,0.25,0.8642344883167203,COMPLETE,2024-04-12 19:44:22.031687,2024-04-12 19:47:00.207278,158.175591
10,copulagan,auto,nearmiss,0.0625,-1.0,ERROR,2024-04-12 19:47:00.235164,2024-04-12 19:47:00.836823,0.601659
11,fastml,auto,nearmiss,0.125,0.9054462039211494,COMPLETE,2024-04-12 19:47:00.855221,2024-04-12 19:47:26.460795,25.605574
12,copulagan,2,condensednn,0.0625,-1.0,ERROR,2024-04-12 19:47:26.473409,2024-04-12 19:47:27.018987,0.545578
13,fastml,2,clustercentroid,0.0625,0.8642344883167203,COMPLETE,2024-04-12 19:47:27.049407,2024-04-12 19:49:41.796990,134.747583
14,ctgan,0,editednn,0,-1.0,ERROR,,,0.0
15,smote,0.25,tomeklinks,0.125,0.558189642871412,COMPLETE,2024-04-12 19:49:42.531282,2024-04-12 19:50:00.642755,18.111473
16,smote,0.25,nearmiss,0.0625,0.5518972272784908,COMPLETE,2024-04-12 19:50:00.658042,2024-04-12 19:50:20.246488,19.588446
17,ctgan,2,editednn,0.125,-1.0,ERROR,2024-04-12 19:50:20.260170,2024-04-12 19:50:20.762599,0.502429
18,fastml,1,clustercentroid,0.0625,0.8642344883167203,COMPLETE,2024-04-12 19:50:20.786778,2024-04-12 19:52:21.594677,120.807899
19,adasyn,2,instancehardness,auto,-1.0,ERROR,2024-04-12 19:52:21.627039,2024-04-12 19:52:21.733441,0.106402
20,gaussiancopula,auto,instancehardness,0.5,0.6492007601693552,COMPLETE,2024-04-12 19:52:21.763264,2024-04-12 19:52:54.610639,32.847375
21,tvae,2,editednn,0.125,0.4062496802909055,COMPLETE,2024-04-12 19:52:54.643420,2024-04-12 19:53:12.940846,18.297426
22,fastml,0.25,onesidedselection,auto,0.5490691564969051,COMPLETE,2024-04-12 19:53:12.956142,2024-04-12 19:53:44.528735,31.572593
23,fastml,0.5,condensednn,0.125,0.4111645755509768,COMPLETE,2024-04-12 19:53:44.568139,2024-04-12 19:54:28.915603,44.347464
24,random,0,editednn,0.25,0.4098569468939839,COMPLETE,2024-04-12 19:54:28.953136,2024-04-12 19:54:45.961849,17.008713
25,random,2,random,0.0625,0.934156378600823,COMPLETE,2024-04-12 19:54:45.984945,2024-04-12 19:55:52.904976,66.920031
26,gaussiancopula,0.5,onesidedselection,0.0625,0.5702598547008272,COMPLETE,2024-04-12 19:55:52.926017,2024-04-12 19:56:13.322948,20.396931
27,ctgan,2,condensednn,auto,-1.0,ERROR,2024-04-12 19:56:13.337660,2024-04-12 19:56:13.929060,0.5914
28,random,0.25,nearmiss,0.0625,0.8889191268045894,COMPLETE,2024-04-12 19:56:13.959608,2024-04-12 19:56:39.625460,25.665852
29,adasyn,0,nearmiss,0.25,0.5559480676328502,COMPLETE,2024-04-12 19:56:39.656521,2024-04-12 19:57:00.896915,21.240394
30,smote,2,condensednn,auto,0.4107185037031447,COMPLETE,2024-04-12 19:57:00.911582,2024-04-12 19:57:17.742864,16.831282
31,copulagan,2,onesidedselection,0.0625,-1.0,ERROR,2024-04-12 19:57:17.757568,2024-04-12 19:57:18.272797,0.515229
32,smote,0.5,random,0.125,0.5355470509172486,COMPLETE,2024-04-12 19:57:18.292706,2024-04-12 19:57:44.986109,26.693403
33,smote,2,editednn,0,0.5707835559628051,COMPLETE,2024-04-12 19:57:45.016315,2024-04-12 19:58:10.432912,25.416597
34,copulagan,2,random,auto,-1.0,ERROR,2024-04-12 19:58:10.489645,2024-04-12 19:58:11.850086,1.360441
35,random,1,condensednn,auto,0.41616177335131577,COMPLETE,2024-04-12 19:58:11.889946,2024-04-12 19:58:38.075366,26.18542
36,tvae,0,nearmiss,auto,0.5559480676328502,COMPLETE,2024-04-12 19:58:38.100830,2024-04-12 19:58:59.070679,20.969849
37,smote,0,nearmiss,0,-1.0,ERROR,,,0.0
38,tvae,2,clustercentroid,0.0625,0.5372656607224507,COMPLETE,2024-04-12 19:59:27.521144,2024-04-12 20:01:41.191343,133.670199
39,adasyn,0,instancehardness,0,-1.0,ERROR,,,0.0
40,ctgan,0,random,0.5,-1.0,ERROR,2024-04-12 20:02:26.053419,2024-04-12 20:02:26.568053,0.514634
41,gaussiancopula,auto,condensednn,0.0625,0.3729079093988239,COMPLETE,2024-04-12 20:02:26.585747,2024-04-12 20:02:48.124327,21.53858
42,copulagan,auto,tomeklinks,auto,-1.0,ERROR,2024-04-12 20:02:48.165438,2024-04-12 20:02:48.880592,0.715154
43,adasyn,0.25,condensednn,0.0625,-1.0,ERROR,2024-04-12 20:02:48.914751,2024-04-12 20:02:49.163461,0.24871
44,ctgan,1,onesidedselection,0.25,-1.0,ERROR,2024-04-12 20:02:49.195587,2024-04-12 20:02:49.824845,0.629258
45,copulagan,auto,nearmiss,0,-1.0,ERROR,2024-04-12 20:02:49.850164,2024-04-12 20:02:50.382301,0.532137
