trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,fastml,auto,instancehardness,0.125,0.7852216748768472,COMPLETE,2024-04-09 14:03:52.826256,2024-04-09 14:04:06.815290,13.989034
2,gaussiancopula,2,random,0.25,0.7912283794636736,COMPLETE,2024-04-09 14:04:06.841548,2024-04-09 14:04:18.448544,11.606996
3,ctgan,1,onesidedselection,auto,0.752618377008621,COMPLETE,2024-04-09 14:04:18.499208,2024-04-09 14:05:41.100343,82.601135
4,copulagan,0.5,tomeklinks,0,0.7930928330928332,COMPLETE,2024-04-09 14:05:41.141387,2024-04-09 14:06:35.768497,54.62711
5,copulagan,0.5,clustercentroid,0,0.7930928330928332,COMPLETE,2024-04-09 14:06:35.794511,2024-04-09 14:06:48.174185,12.379674
6,smote,0.5,clustercentroid,0.5,0.7625924075924075,COMPLETE,2024-04-09 14:06:48.190775,2024-04-09 14:06:57.252517,9.061742
7,adasyn,2,onesidedselection,0.0625,0.7965920604218476,COMPLETE,2024-04-09 14:06:57.267255,2024-04-09 14:07:09.815177,12.547922
8,adasyn,auto,random,0.125,0.7982385430661292,COMPLETE,2024-04-09 14:07:09.831654,2024-04-09 14:07:16.442245,6.610591
9,smote,0.25,condensednn,0.0625,0.7779908511615828,COMPLETE,2024-04-09 14:07:16.456122,2024-04-09 14:07:36.956731,20.500609
10,copulagan,1,instancehardness,0.0625,0.8153496503496503,COMPLETE,2024-04-09 14:07:36.983307,2024-04-09 14:07:51.344476,14.361169
11,gaussiancopula,0.5,nearmiss,0.0625,0.7744147009453131,COMPLETE,2024-04-09 14:07:51.358410,2024-04-09 14:08:01.085654,9.727244
12,ctgan,0,random,auto,0.7861825717872585,COMPLETE,2024-04-09 14:08:01.098808,2024-04-09 14:08:09.004871,7.906063
13,gaussiancopula,0,editednn,0.25,0.7139495811327576,COMPLETE,2024-04-09 14:08:09.043259,2024-04-09 14:08:20.118219,11.07496
14,gaussiancopula,0.5,condensednn,0.0625,0.6319778420423801,COMPLETE,2024-04-09 14:08:20.149680,2024-04-09 14:08:35.469769,15.320089
15,smote,2,random,0.25,0.7654379225913697,COMPLETE,2024-04-09 14:08:35.483171,2024-04-09 14:08:40.708899,5.225728
16,smote,2,editednn,0.25,0.6435649528628654,COMPLETE,2024-04-09 14:08:40.721482,2024-04-09 14:08:46.092090,5.370608
17,tvae,1,clustercentroid,auto,0.8116741083533686,COMPLETE,2024-04-09 14:08:46.107185,2024-04-09 14:08:58.845246,12.738061
18,gaussiancopula,auto,instancehardness,auto,0.7776992089097096,COMPLETE,2024-04-09 14:08:58.859007,2024-04-09 14:09:06.597929,7.738922
19,gaussiancopula,auto,instancehardness,0.125,0.7770352624721556,COMPLETE,2024-04-09 14:09:06.617447,2024-04-09 14:09:15.695295,9.077848
20,tvae,0.5,onesidedselection,0.0625,0.7783332080978578,COMPLETE,2024-04-09 14:09:15.709664,2024-04-09 14:09:29.948076,14.238412
21,random,1,clustercentroid,0.25,0.797242681542942,COMPLETE,2024-04-09 14:09:29.962025,2024-04-09 14:09:39.982375,10.02035
22,fastml,1,clustercentroid,0.25,0.7847704095467071,COMPLETE,2024-04-09 14:09:40.013080,2024-04-09 14:09:49.376696,9.363616
23,ctgan,auto,clustercentroid,0.5,0.7996431634403333,COMPLETE,2024-04-09 14:09:49.391964,2024-04-09 14:10:03.581565,14.189601
24,tvae,auto,onesidedselection,0.5,0.7783332080978578,COMPLETE,2024-04-09 14:10:03.602026,2024-04-09 14:10:26.792156,23.19013
25,gaussiancopula,auto,onesidedselection,0.125,0.7829876660695626,COMPLETE,2024-04-09 14:10:26.841290,2024-04-09 14:10:38.900108,12.058818
26,tvae,0.25,instancehardness,auto,0.8089484110893567,COMPLETE,2024-04-09 14:10:38.917538,2024-04-09 14:10:48.460083,9.542545
27,ctgan,auto,clustercentroid,0.0625,0.82379436183784,COMPLETE,2024-04-09 14:10:48.485000,2024-04-09 14:11:04.277103,15.792103
28,random,0.5,tomeklinks,0.25,0.8128603221037872,COMPLETE,2024-04-09 14:11:04.311133,2024-04-09 14:11:16.011735,11.700602
29,copulagan,1,clustercentroid,auto,0.7853735176250389,COMPLETE,2024-04-09 14:11:16.029950,2024-04-09 14:11:31.290031,15.260081
30,smote,0,editednn,auto,0.7139495811327576,COMPLETE,2024-04-09 14:11:31.334282,2024-04-09 14:11:46.904638,15.570356
31,fastml,0,condensednn,0.25,0.7657230820801043,COMPLETE,2024-04-09 14:11:46.922647,2024-04-09 14:12:05.352870,18.430223
32,smote,1,tomeklinks,0,0.8013231606151959,COMPLETE,2024-04-09 14:12:05.400902,2024-04-09 14:12:20.525966,15.125064
33,smote,auto,nearmiss,0.25,0.7579993295835115,COMPLETE,2024-04-09 14:12:20.557729,2024-04-09 14:12:51.874747,31.317018
34,adasyn,0.5,clustercentroid,0.0625,0.8173248320307145,COMPLETE,2024-04-09 14:12:51.910852,2024-04-09 14:13:11.208664,19.297812
35,smote,2,clustercentroid,0.125,0.7862860410030221,COMPLETE,2024-04-09 14:13:11.243984,2024-04-09 14:13:37.500360,26.256376
36,gaussiancopula,1,condensednn,0.25,0.6319778420423801,COMPLETE,2024-04-09 14:13:37.543157,2024-04-09 14:13:59.097350,21.554193
37,random,0,onesidedselection,auto,0.7938869211596483,COMPLETE,2024-04-09 14:13:59.112405,2024-04-09 14:14:12.655840,13.543435
38,gaussiancopula,auto,instancehardness,0.0625,0.7982222589500378,COMPLETE,2024-04-09 14:14:12.673957,2024-04-09 14:14:20.532909,7.858952
39,random,auto,onesidedselection,0.0625,0.7999541374212897,COMPLETE,2024-04-09 14:14:20.558050,2024-04-09 14:14:30.952354,10.394304
40,tvae,auto,editednn,0,0.7801611351611352,COMPLETE,2024-04-09 14:14:30.976219,2024-04-09 14:14:41.527432,10.551213
41,ctgan,auto,onesidedselection,0.5,0.752618377008621,COMPLETE,2024-04-09 14:14:41.542128,2024-04-09 14:14:50.307739,8.765611
42,fastml,0,condensednn,0.125,0.7657230820801043,COMPLETE,2024-04-09 14:14:50.322397,2024-04-09 14:15:08.760457,18.43806
43,tvae,2,nearmiss,0.125,0.7494030969030968,COMPLETE,2024-04-09 14:15:08.774928,2024-04-09 14:15:20.725716,11.950788
44,tvae,0.5,condensednn,0.0625,0.6659310284310286,COMPLETE,2024-04-09 14:15:20.738855,2024-04-09 14:15:46.917149,26.178294
45,ctgan,0,instancehardness,0.25,0.7711660679745787,COMPLETE,2024-04-09 14:15:46.952222,2024-04-09 14:16:03.110719,16.158497
46,adasyn,0,instancehardness,0.5,0.7711660679745787,COMPLETE,2024-04-09 14:16:03.127694,2024-04-09 14:16:14.122027,10.994333
47,gaussiancopula,auto,condensednn,0.125,0.6319778420423801,COMPLETE,2024-04-09 14:16:14.150859,2024-04-09 14:16:35.791597,21.640738
48,gaussiancopula,0.5,tomeklinks,0.125,0.8013231606151959,COMPLETE,2024-04-09 14:16:35.806301,2024-04-09 14:16:43.416226,7.609925
49,copulagan,2,random,0.0625,0.7676979493493254,COMPLETE,2024-04-09 14:16:43.430708,2024-04-09 14:16:49.754100,6.323392
50,fastml,0,nearmiss,auto,0.7982385430661292,COMPLETE,2024-04-09 14:16:49.769278,2024-04-09 14:16:56.129932,6.360654
51,gaussiancopula,0,tomeklinks,0,-1.0,ERROR,,,0.0
52,fastml,0,onesidedselection,0.5,0.7938869211596483,COMPLETE,2024-04-09 14:17:08.078170,2024-04-09 14:17:15.115775,7.037605
53,copulagan,0.5,editednn,0.0625,0.6306036784215153,COMPLETE,2024-04-09 14:17:15.130464,2024-04-09 14:17:23.514011,8.383547
54,tvae,0,random,0.0625,0.8173248320307145,COMPLETE,2024-04-09 14:17:23.528137,2024-04-09 14:17:29.386048,5.857911
55,ctgan,2,nearmiss,0.5,0.781755234561357,COMPLETE,2024-04-09 14:17:29.410092,2024-04-09 14:17:36.140091,6.729999
56,adasyn,0,tomeklinks,0.5,0.7461710703090014,COMPLETE,2024-04-09 14:17:36.153565,2024-04-09 14:17:42.366630,6.213065
57,random,0,condensednn,auto,0.7657230820801043,COMPLETE,2024-04-09 14:17:42.380830,2024-04-09 14:17:59.289018,16.908188
58,copulagan,auto,condensednn,0.5,0.6797173737813008,COMPLETE,2024-04-09 14:17:59.308197,2024-04-09 14:18:15.677836,16.369639
59,random,auto,condensednn,auto,0.6975748914459817,COMPLETE,2024-04-09 14:18:15.691277,2024-04-09 14:18:34.769418,19.078141
60,copulagan,2,nearmiss,0.25,0.8051948051948052,COMPLETE,2024-04-09 14:18:34.784832,2024-04-09 14:18:45.211398,10.426566
61,copulagan,1,editednn,auto,0.6306036784215153,COMPLETE,2024-04-09 14:18:45.225666,2024-04-09 14:18:55.567621,10.341955
62,copulagan,0,nearmiss,0.5,0.7982385430661292,COMPLETE,2024-04-09 14:18:55.593259,2024-04-09 14:19:03.079627,7.486368
63,ctgan,0.5,onesidedselection,0,0.7930928330928332,COMPLETE,2024-04-09 14:19:03.093643,2024-04-09 14:19:18.472878,15.379235
64,tvae,0.25,nearmiss,auto,0.7801611351611352,COMPLETE,2024-04-09 14:19:18.498258,2024-04-09 14:19:29.468044,10.969786
65,fastml,0.5,editednn,0,0.8120998358130455,COMPLETE,2024-04-09 14:19:29.521415,2024-04-09 14:20:04.741062,35.219647
66,gaussiancopula,2,clustercentroid,0.0625,0.8032664080636668,COMPLETE,2024-04-09 14:20:04.765809,2024-04-09 14:20:22.017481,17.251672
67,gaussiancopula,1,random,0.5,0.7912283794636736,COMPLETE,2024-04-09 14:20:22.051160,2024-04-09 14:20:41.073716,19.022556
68,tvae,2,tomeklinks,auto,0.7717664523414874,COMPLETE,2024-04-09 14:20:41.099621,2024-04-09 14:21:01.429639,20.330018
69,random,auto,clustercentroid,0.0625,0.7841615642231317,COMPLETE,2024-04-09 14:21:01.474407,2024-04-09 14:21:17.149654,15.675247
70,ctgan,2,nearmiss,0.25,0.781755234561357,COMPLETE,2024-04-09 14:21:17.164491,2024-04-09 14:21:36.201784,19.037293
71,random,1,onesidedselection,0,0.7891030798442378,COMPLETE,2024-04-09 14:21:36.245525,2024-04-09 14:21:59.616671,23.371146
72,gaussiancopula,2,onesidedselection,0,0.8067689885871705,COMPLETE,2024-04-09 14:21:59.631872,2024-04-09 14:22:09.270944,9.639072
73,gaussiancopula,0.25,nearmiss,0.0625,0.7949557088313068,COMPLETE,2024-04-09 14:22:09.300605,2024-04-09 14:22:20.067256,10.766651
74,random,1,random,0.25,0.804276605747194,COMPLETE,2024-04-09 14:22:20.084942,2024-04-09 14:22:26.155070,6.070128
75,fastml,1,onesidedselection,0.25,0.7906770882380639,COMPLETE,2024-04-09 14:22:26.171235,2024-04-09 14:22:37.135311,10.964076
76,smote,0.25,clustercentroid,0,0.8311688311688312,COMPLETE,2024-04-09 14:22:37.159047,2024-04-09 14:22:53.976648,16.817601
77,random,0.5,onesidedselection,auto,0.7999541374212897,COMPLETE,2024-04-09 14:22:53.995071,2024-04-09 14:23:03.975634,9.980563
78,gaussiancopula,0,clustercentroid,0.5,0.8067689885871705,COMPLETE,2024-04-09 14:23:03.992440,2024-04-09 14:23:16.572966,12.580526
79,fastml,0,clustercentroid,0,-1.0,ERROR,,,0.0
