trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,copulagan,auto,random,0.125,0.572023953202321,COMPLETE,2024-04-10 12:38:26.924410,2024-04-10 12:39:59.555699,92.631289
2,random,0.5,tomeklinks,0,0.6405289408609354,COMPLETE,2024-04-10 12:39:59.600903,2024-04-10 12:40:40.596646,40.995743
3,ctgan,2,clustercentroid,0,0.6399076504130137,COMPLETE,2024-04-10 12:40:40.622608,2024-04-10 12:41:36.149532,55.526924
4,tvae,1,random,0.125,0.620809902020024,COMPLETE,2024-04-10 12:41:36.174567,2024-04-10 12:43:12.852536,96.677969
5,random,1,editednn,auto,0.576064281972086,COMPLETE,2024-04-10 12:43:12.894290,2024-04-10 12:43:36.064066,23.169776
6,gaussiancopula,1,onesidedselection,0.0625,0.03403949310010853,COMPLETE,2024-04-10 12:43:36.079949,2024-04-10 12:43:55.937932,19.857983
7,fastml,0,instancehardness,auto,0.6224805316603533,COMPLETE,2024-04-10 12:43:55.963032,2024-04-10 12:44:20.832224,24.869192
8,tvae,0,tomeklinks,0.125,0.6236300677548858,COMPLETE,2024-04-10 12:44:20.853331,2024-04-10 12:46:00.061337,99.208006
9,fastml,0.5,clustercentroid,0.25,0.601746185556666,COMPLETE,2024-04-10 12:46:00.106191,2024-04-10 12:50:18.164192,258.058001
10,copulagan,auto,nearmiss,0.0625,0.6355184559284381,COMPLETE,2024-04-10 12:50:18.199900,2024-04-10 12:51:36.931627,78.731727
11,fastml,auto,nearmiss,0.125,0.63219877303611,COMPLETE,2024-04-10 12:51:36.946141,2024-04-10 12:51:57.905375,20.959234
12,copulagan,2,condensednn,0.0625,0.06971086080899815,COMPLETE,2024-04-10 12:51:57.923812,2024-04-10 12:52:18.292192,20.36838
13,fastml,2,clustercentroid,0.0625,0.5898754743199187,COMPLETE,2024-04-10 12:52:18.316285,2024-04-10 12:52:42.510808,24.194523
14,ctgan,0,editednn,0,-1.0,ERROR,,,0.0
15,smote,0.25,tomeklinks,0.125,0.6070511091247699,COMPLETE,2024-04-10 12:53:09.262855,2024-04-10 12:53:40.572856,31.310001
16,smote,0.25,nearmiss,0.0625,0.6431232085424123,COMPLETE,2024-04-10 12:53:40.600621,2024-04-10 12:54:08.834471,28.23385
17,ctgan,2,editednn,0.125,0.585422972712535,COMPLETE,2024-04-10 12:54:08.880991,2024-04-10 12:54:38.888148,30.007157
18,fastml,1,clustercentroid,0.0625,0.6039830198664687,COMPLETE,2024-04-10 12:54:38.929218,2024-04-10 12:55:14.998814,36.069596
19,adasyn,2,instancehardness,auto,-1.0,ERROR,2024-04-10 12:55:15.028709,2024-04-10 12:55:15.117560,0.088851
20,gaussiancopula,auto,instancehardness,0.5,0.6553006078272728,COMPLETE,2024-04-10 12:55:15.136613,2024-04-10 12:56:01.040655,45.904042
21,tvae,2,editednn,0.125,0.5842400802859676,COMPLETE,2024-04-10 12:56:01.067072,2024-04-10 12:57:04.005428,62.938356
22,fastml,0.25,onesidedselection,auto,0.02534996392294867,COMPLETE,2024-04-10 12:57:04.019937,2024-04-10 12:57:18.308260,14.288323
23,fastml,0.5,condensednn,0.125,0.03686156298122397,COMPLETE,2024-04-10 12:57:18.344650,2024-04-10 12:57:43.829007,25.484357
24,random,0,editednn,0.25,0.5973664891179414,COMPLETE,2024-04-10 12:57:43.850995,2024-04-10 12:57:58.556380,14.705385
25,random,2,random,0.0625,0.6240891611656834,COMPLETE,2024-04-10 12:57:58.598038,2024-04-10 12:58:34.082310,35.484272
26,gaussiancopula,0.5,onesidedselection,0.0625,0.04802562833066148,COMPLETE,2024-04-10 12:58:34.120835,2024-04-10 12:58:52.697762,18.576927
27,ctgan,2,condensednn,auto,0.24055646357559113,COMPLETE,2024-04-10 12:58:52.726216,2024-04-10 13:00:02.309817,69.583601
28,random,0.25,nearmiss,0.0625,0.6463693041855622,COMPLETE,2024-04-10 13:00:02.341436,2024-04-10 13:02:17.593519,135.252083
29,adasyn,0,nearmiss,0.25,0.6248192588590791,COMPLETE,2024-04-10 13:02:17.625085,2024-04-10 13:05:20.566434,182.941349
30,smote,2,condensednn,auto,-1.0,ERROR,2024-04-10 13:05:20.591324,2024-04-10 13:05:20.644431,0.053107
31,copulagan,2,onesidedselection,0.0625,0.04304820825346277,COMPLETE,2024-04-10 13:05:20.657571,2024-04-10 13:05:41.858601,21.20103
32,smote,0.5,random,0.125,-1.0,ERROR,2024-04-10 13:05:41.881875,2024-04-10 13:05:41.930561,0.048686
33,smote,2,editednn,0,-1.0,ERROR,2024-04-10 13:05:41.944990,2024-04-10 13:05:41.996461,0.051471
34,copulagan,2,random,auto,0.6028310337232221,COMPLETE,2024-04-10 13:05:42.008936,2024-04-10 13:06:01.083021,19.074085
35,random,1,condensednn,auto,0.026283622993029644,COMPLETE,2024-04-10 13:06:01.106890,2024-04-10 13:06:29.353140,28.24625
36,tvae,0,nearmiss,auto,0.56127560193021,COMPLETE,2024-04-10 13:06:29.394428,2024-04-10 13:06:50.385739,20.991311
37,smote,0,nearmiss,0,-1.0,ERROR,,,0.0
38,tvae,2,clustercentroid,0.0625,0.5949152973076418,COMPLETE,2024-04-10 13:07:11.212057,2024-04-10 13:08:07.775572,56.563515
39,adasyn,0,instancehardness,0,-1.0,ERROR,,,0.0
