trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,tvae,0,instancehardness,0,-1.0,ERROR,,,0.0
2,ctgan,0,editednn,0.125,-1.0,ERROR,2024-04-13 21:19:34.296971,2024-04-13 21:19:36.640333,2.343362
3,random,1,nearmiss,0.0625,-1.0,ERROR,2024-04-13 21:19:36.666338,2024-04-13 21:19:36.773174,0.106836
4,tvae,0.5,instancehardness,0.25,-1.0,ERROR,2024-04-13 21:19:36.788005,2024-04-13 21:25:06.946967,330.158962
5,adasyn,1,tomeklinks,0.125,-1.0,ERROR,2024-04-13 21:25:06.978309,2024-04-13 21:25:07.624604,0.646295
6,copulagan,2,tomeklinks,0,-1.0,ERROR,2024-04-13 21:25:07.640199,2024-04-13 21:25:09.791650,2.151451
7,fastml,1,editednn,0.5,0.7284272230078657,COMPLETE,2024-04-13 21:25:09.807476,2024-04-13 21:27:05.014586,115.20711
8,ctgan,2,clustercentroid,auto,-1.0,ERROR,2024-04-13 21:27:05.034031,2024-04-13 21:27:07.352062,2.318031
9,gaussiancopula,2,condensednn,0.25,0.20896600249664485,COMPLETE,2024-04-13 21:27:07.377022,2024-04-13 21:29:32.400531,145.023509
10,adasyn,0,clustercentroid,auto,0.7585585433952394,COMPLETE,2024-04-13 21:29:32.427957,2024-04-13 21:36:28.274669,415.846712
11,random,0.5,editednn,0.5,0.740050098455525,COMPLETE,2024-04-13 21:36:28.299059,2024-04-13 21:38:23.512070,115.213011
12,fastml,2,random,0,0.791608442992967,COMPLETE,2024-04-13 21:38:23.536552,2024-04-13 21:43:34.775400,311.238848
13,ctgan,0,onesidedselection,0.5,-1.0,ERROR,2024-04-13 21:43:34.807657,2024-04-13 21:43:37.890561,3.082904
14,tvae,0,condensednn,auto,0.3217354889150988,COMPLETE,2024-04-13 21:43:37.922220,2024-04-13 21:45:29.741438,111.819218
15,tvae,auto,condensednn,auto,0.04322850491198242,COMPLETE,2024-04-13 21:45:29.774358,2024-04-13 22:07:55.923446,1346.149088
16,smote,0.25,onesidedselection,0.125,0.7499946804938006,COMPLETE,2024-04-13 22:07:55.958651,2024-04-13 22:12:57.254968,301.296317
17,smote,0.25,instancehardness,0.25,-1.0,ERROR,2024-04-13 22:12:57.288402,2024-04-13 22:13:01.448481,4.160079
18,ctgan,0.5,nearmiss,0.5,-1.0,ERROR,2024-04-13 22:13:01.482937,2024-04-13 22:13:04.803922,3.320985
19,fastml,1,tomeklinks,auto,0.8043558736214534,COMPLETE,2024-04-13 22:13:04.825245,2024-04-13 22:18:48.191059,343.365814
20,gaussiancopula,0.5,editednn,auto,0.7299673785787478,COMPLETE,2024-04-13 22:18:48.230634,2024-04-13 22:24:24.770288,336.539654
21,gaussiancopula,1,editednn,0.25,0.7264593200299381,COMPLETE,2024-04-13 22:24:24.797783,2024-04-13 22:29:43.125943,318.32816
22,tvae,0.25,clustercentroid,0.125,0.8030008468923461,COMPLETE,2024-04-13 22:29:43.144135,2024-04-13 22:49:08.261489,1165.117354
23,fastml,1,onesidedselection,0.25,0.7353843401210258,COMPLETE,2024-04-13 22:49:08.284374,2024-04-13 22:54:19.945182,311.660808
24,copulagan,1,random,0.5,-1.0,ERROR,2024-04-13 22:54:19.984391,2024-04-13 22:54:23.417932,3.433541
25,fastml,0.5,tomeklinks,0.5,0.8210715253287896,COMPLETE,2024-04-13 22:54:23.458198,2024-04-13 22:57:48.999136,205.540938
26,gaussiancopula,0,clustercentroid,auto,0.7585585433952394,COMPLETE,2024-04-13 22:57:49.022586,2024-04-13 23:00:42.791773,173.769187
27,tvae,0.5,condensednn,0.125,0.2801791743473028,COMPLETE,2024-04-13 23:00:42.816900,2024-04-13 23:07:18.971866,396.154966
28,ctgan,0.5,editednn,0,-1.0,ERROR,2024-04-13 23:07:18.985551,2024-04-13 23:07:21.115257,2.129706
29,adasyn,auto,condensednn,0.25,-1.0,ERROR,2024-04-13 23:07:21.144719,2024-04-13 23:07:21.371399,0.22668
30,random,0.5,tomeklinks,0,0.8135143564643047,COMPLETE,2024-04-13 23:07:21.399384,2024-04-13 23:09:24.551115,123.151731
31,random,1,clustercentroid,0.25,0.7546964878453384,COMPLETE,2024-04-13 23:09:24.574124,2024-04-13 23:12:37.608384,193.03426
32,gaussiancopula,0,onesidedselection,0.5,0.7322078966182306,COMPLETE,2024-04-13 23:12:37.636399,2024-04-13 23:15:02.357537,144.721138
33,fastml,0.5,instancehardness,0.125,-1.0,ERROR,2024-04-13 23:15:02.389658,2024-04-13 23:15:14.011156,11.621498
34,tvae,0.25,tomeklinks,auto,0.7966687910096784,COMPLETE,2024-04-13 23:15:14.049019,2024-04-13 23:27:08.308274,714.259255
35,adasyn,0,nearmiss,auto,-1.0,ERROR,2024-04-13 23:27:08.340446,2024-04-13 23:27:08.476532,0.136086
36,copulagan,0.5,instancehardness,0.0625,-1.0,ERROR,2024-04-13 23:27:08.508649,2024-04-13 23:27:11.492626,2.983977
37,fastml,2,nearmiss,0.25,0.7708692836942038,COMPLETE,2024-04-13 23:27:11.527876,2024-04-13 23:32:26.533718,315.005842
38,ctgan,2,instancehardness,0.5,-1.0,ERROR,2024-04-13 23:32:26.558819,2024-04-13 23:32:28.906633,2.347814
39,tvae,0,condensednn,0.0625,0.3217354889150988,COMPLETE,2024-04-13 23:32:28.927132,2024-04-13 23:33:35.786452,66.85932
40,copulagan,0.25,random,0.125,-1.0,ERROR,2024-04-13 23:33:35.813760,2024-04-13 23:33:37.875417,2.061657
41,tvae,0.5,onesidedselection,0.25,0.7161842750126979,COMPLETE,2024-04-13 23:33:37.898731,2024-04-13 23:44:57.419200,679.520469
42,gaussiancopula,0.25,nearmiss,0.125,-1.0,ERROR,2024-04-13 23:44:57.460378,2024-04-13 23:45:16.651069,19.190691
43,adasyn,2,instancehardness,0,-1.0,ERROR,2024-04-13 23:45:16.703621,2024-04-13 23:45:17.503004,0.799383
44,gaussiancopula,2,instancehardness,auto,-1.0,ERROR,2024-04-13 23:45:17.532904,2024-04-13 23:45:37.133876,19.600972
45,random,2,tomeklinks,auto,0.7888706979624501,COMPLETE,2024-04-13 23:45:37.149207,2024-04-13 23:50:01.140902,263.991695
46,random,1,condensednn,0.125,0.2879788414490707,COMPLETE,2024-04-13 23:50:01.172707,2024-04-13 23:51:30.210950,89.038243
47,gaussiancopula,2,editednn,auto,0.7230809598633265,COMPLETE,2024-04-13 23:51:30.255482,2024-04-13 23:55:06.016466,215.760984
48,gaussiancopula,1,random,0.125,0.7869986513548585,COMPLETE,2024-04-13 23:55:06.053347,2024-04-14 00:00:04.793788,298.740441
49,adasyn,0.5,clustercentroid,0.5,-1.0,ERROR,2024-04-14 00:00:04.811075,2024-04-14 00:00:05.196784,0.385709
50,adasyn,0,tomeklinks,0,-1.0,ERROR,,,0.0
51,ctgan,0.5,onesidedselection,0.125,-1.0,ERROR,2024-04-14 00:03:56.011778,2024-04-14 00:03:58.552438,2.54066
52,smote,2,editednn,0.125,-1.0,ERROR,2024-04-14 00:03:58.579053,2024-04-14 00:03:58.754212,0.175159
53,random,0.5,random,0.5,0.7821945144374511,COMPLETE,2024-04-14 00:03:58.784803,2024-04-14 00:06:19.232563,140.44776
54,tvae,2,nearmiss,0.25,-1.0,ERROR,2024-04-14 00:06:19.246665,2024-04-14 00:17:24.298577,665.051912
55,ctgan,0.5,tomeklinks,0.0625,-1.0,ERROR,2024-04-14 00:17:24.336312,2024-04-14 00:17:27.628356,3.292044
56,adasyn,0,editednn,0,-1.0,ERROR,,,0.0
57,ctgan,auto,nearmiss,0,-1.0,ERROR,2024-04-14 00:20:59.912156,2024-04-14 00:21:03.164744,3.252588
58,ctgan,0.25,onesidedselection,0,-1.0,ERROR,2024-04-14 00:21:03.195395,2024-04-14 00:21:05.833041,2.637646
59,copulagan,1,clustercentroid,0,-1.0,ERROR,2024-04-14 00:21:05.858120,2024-04-14 00:21:08.216177,2.358057
60,adasyn,0.5,clustercentroid,0.125,-1.0,ERROR,2024-04-14 00:21:08.230431,2024-04-14 00:21:08.374571,0.14414
61,gaussiancopula,0.5,onesidedselection,0,0.7944493056169821,COMPLETE,2024-04-14 00:21:08.397809,2024-04-14 00:26:17.621731,309.223922
62,ctgan,1,nearmiss,auto,-1.0,ERROR,2024-04-14 00:26:17.638854,2024-04-14 00:26:19.846027,2.207173
63,smote,1,instancehardness,0.125,-1.0,ERROR,2024-04-14 00:26:19.879735,2024-04-14 00:26:20.034843,0.155108
64,tvae,2,condensednn,0.0625,0.017390454344896465,COMPLETE,2024-04-14 00:26:20.063695,2024-04-14 00:38:13.299132,713.235437
65,tvae,1,condensednn,0.5,0.1155595889051968,COMPLETE,2024-04-14 00:38:13.325558,2024-04-14 00:50:41.452245,748.126687
66,fastml,auto,instancehardness,auto,-1.0,ERROR,2024-04-14 00:50:41.467499,2024-04-14 00:50:54.188992,12.721493
67,gaussiancopula,2,tomeklinks,0.125,0.7954019548555253,COMPLETE,2024-04-14 00:50:54.203842,2024-04-14 00:53:11.619124,137.415282
68,gaussiancopula,2,instancehardness,0.5,-1.0,ERROR,2024-04-14 00:53:11.634822,2024-04-14 00:53:22.428041,10.793219
69,random,0.25,nearmiss,auto,-1.0,ERROR,2024-04-14 00:53:22.450934,2024-04-14 00:53:22.554716,0.103782
70,smote,2,nearmiss,0.0625,-1.0,ERROR,2024-04-14 00:53:22.583327,2024-04-14 00:53:22.782794,0.199467
71,gaussiancopula,2,tomeklinks,0.25,0.7954019548555253,COMPLETE,2024-04-14 00:53:22.808692,2024-04-14 00:56:28.766383,185.957691
72,smote,auto,condensednn,auto,-1.0,ERROR,2024-04-14 00:56:28.791764,2024-04-14 00:56:28.943523,0.151759
73,adasyn,2,condensednn,0.25,-1.0,ERROR,2024-04-14 00:56:28.984212,2024-04-14 00:56:29.453519,0.469307
74,random,auto,nearmiss,0.0625,0.7989376056135895,COMPLETE,2024-04-14 00:56:29.484755,2024-04-14 01:00:34.374620,244.889865
75,tvae,auto,instancehardness,auto,-1.0,ERROR,2024-04-14 01:00:34.406746,2024-04-14 01:16:16.171418,941.764672
76,random,0.5,tomeklinks,0.0625,0.8020947408711632,COMPLETE,2024-04-14 01:16:16.195426,2024-04-14 01:18:24.494475,128.299049
77,smote,1,nearmiss,0.0625,-1.0,ERROR,2024-04-14 01:18:24.509218,2024-04-14 01:18:24.576405,0.067187
78,copulagan,0,instancehardness,0.0625,-1.0,ERROR,2024-04-14 01:18:24.590263,2024-04-14 01:18:26.584922,1.994659
79,tvae,2,onesidedselection,0.25,0.7242484474702701,COMPLETE,2024-04-14 01:18:26.611233,2024-04-14 01:32:20.894684,834.283451
80,copulagan,1,random,0.25,-1.0,ERROR,2024-04-14 01:32:20.918827,2024-04-14 01:32:22.761260,1.842433
81,tvae,0.25,instancehardness,0.25,-1.0,ERROR,2024-04-14 01:32:22.773560,2024-04-14 01:38:12.683800,349.91024
82,smote,1,clustercentroid,auto,-1.0,ERROR,2024-04-14 01:38:12.698790,2024-04-14 01:38:12.788238,0.089448
83,ctgan,0,onesidedselection,auto,-1.0,ERROR,2024-04-14 01:38:12.844633,2024-04-14 01:38:15.135227,2.290594
84,ctgan,0,nearmiss,0.0625,-1.0,ERROR,2024-04-14 01:38:15.157812,2024-04-14 01:38:17.116993,1.959181
85,gaussiancopula,0.5,nearmiss,0.125,-1.0,ERROR,2024-04-14 01:38:17.131447,2024-04-14 01:38:23.158222,6.026775
86,ctgan,0.25,random,0.25,-1.0,ERROR,2024-04-14 01:38:23.182796,2024-04-14 01:38:25.200951,2.018155
87,fastml,auto,clustercentroid,0.5,0.740438001341951,COMPLETE,2024-04-14 01:38:25.216916,2024-04-14 01:41:09.380941,164.164025
88,tvae,2,instancehardness,0.25,-1.0,ERROR,2024-04-14 01:41:09.394832,2024-04-14 01:53:53.998965,764.604133
89,smote,1,instancehardness,0.5,-1.0,ERROR,2024-04-14 01:53:54.030845,2024-04-14 01:53:54.211844,0.180999
90,copulagan,auto,tomeklinks,0.25,-1.0,ERROR,2024-04-14 01:53:54.240327,2024-04-14 01:53:57.001428,2.761101
91,tvae,0,editednn,0.125,0.7088686875636496,COMPLETE,2024-04-14 01:53:57.034625,2024-04-14 01:56:45.835798,168.801173
92,smote,1,editednn,0.0625,-1.0,ERROR,2024-04-14 01:56:45.865482,2024-04-14 01:56:46.007069,0.141587
93,tvae,1,nearmiss,0,0.7969509451745289,COMPLETE,2024-04-14 01:56:46.036827,2024-04-14 02:12:20.753544,934.716717
94,fastml,0,nearmiss,0.0625,-1.0,ERROR,2024-04-14 02:12:20.778142,2024-04-14 02:12:20.918025,0.139883
95,adasyn,0.5,tomeklinks,0.0625,-1.0,ERROR,2024-04-14 02:12:20.930489,2024-04-14 02:12:21.000198,0.069709
96,copulagan,2,nearmiss,0.0625,-1.0,ERROR,2024-04-14 02:12:21.012737,2024-04-14 02:12:23.076834,2.064097
97,adasyn,0.25,nearmiss,0,-1.0,ERROR,2024-04-14 02:12:23.090701,2024-04-14 02:12:23.149257,0.058556
98,gaussiancopula,1,random,0.5,0.768257456501645,COMPLETE,2024-04-14 02:12:23.162784,2024-04-14 02:14:17.857135,114.694351
99,copulagan,1,random,0.125,-1.0,ERROR,2024-04-14 02:14:17.872222,2024-04-14 02:14:19.924432,2.05221
100,copulagan,0.25,editednn,0.125,-1.0,ERROR,2024-04-14 02:14:19.937973,2024-04-14 02:14:22.003500,2.065527
101,random,0.5,editednn,0.25,0.740050098455525,COMPLETE,2024-04-14 02:14:22.031283,2024-04-14 02:16:02.171370,100.140087
102,smote,0.25,condensednn,0.5,0.27170779924949584,COMPLETE,2024-04-14 02:16:02.195326,2024-04-14 02:17:01.327631,59.132305
103,copulagan,0.5,onesidedselection,0.0625,-1.0,ERROR,2024-04-14 02:17:01.364241,2024-04-14 02:17:04.777735,3.413494
104,random,0,tomeklinks,0.5,0.8078391997330633,COMPLETE,2024-04-14 02:17:04.795468,2024-04-14 02:21:42.228667,277.433199
