trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,gaussiancopula,0,condensednn,0.5,0.319720634104039,COMPLETE,2024-04-13 08:10:10.868379,2024-04-13 08:10:35.507005,24.638626
2,copulagan,0.5,onesidedselection,auto,0.5760324074074074,COMPLETE,2024-04-13 08:10:35.543370,2024-04-13 08:12:56.383414,140.840044
3,tvae,0,clustercentroid,0.0625,0.6957885919661012,COMPLETE,2024-04-13 08:12:56.413512,2024-04-13 08:14:16.455621,80.042109
4,smote,1,random,0.25,0.677355302070131,COMPLETE,2024-04-13 08:14:16.486887,2024-04-13 08:14:53.538260,37.051373
5,random,1,condensednn,0.0625,0.3260236115078562,COMPLETE,2024-04-13 08:14:53.571262,2024-04-13 08:15:22.485214,28.913952
6,gaussiancopula,auto,nearmiss,0.25,0.6587962127478255,COMPLETE,2024-04-13 08:15:22.508495,2024-04-13 08:17:35.086512,132.578017
7,adasyn,auto,tomeklinks,auto,-1.0,ERROR,2024-04-13 08:17:35.117340,2024-04-13 08:17:35.220296,0.102956
8,copulagan,1,onesidedselection,0,0.7235219812537477,COMPLETE,2024-04-13 08:17:35.263177,2024-04-13 08:20:15.405237,160.14206
9,smote,0.5,tomeklinks,0.125,0.6527395488179554,COMPLETE,2024-04-13 08:20:15.428553,2024-04-13 08:21:36.345922,80.917369
10,tvae,2,random,0.5,0.6383678075704882,COMPLETE,2024-04-13 08:21:36.375142,2024-04-13 08:24:18.453509,162.078367
11,gaussiancopula,0.25,tomeklinks,0.25,0.6658153949748137,COMPLETE,2024-04-13 08:24:18.483628,2024-04-13 08:25:10.365750,51.882122
12,gaussiancopula,0,nearmiss,auto,0.5238216263085437,COMPLETE,2024-04-13 08:25:10.384579,2024-04-13 08:25:32.428285,22.043706
13,fastml,0,random,0.5,0.6458813457008243,COMPLETE,2024-04-13 08:25:32.445643,2024-04-13 08:26:00.258970,27.813327
